# en | da | de | pl | el | fr | es | it | sv | nl
# Discover, chat, profile, server messages, notification titles
Clear search | Ryd søgning | Suche löschen | Wyczyść wyszukiwanie | Καθαρισμός αναζήτησης | Effacer la recherche | Borrar búsqueda | Cancella ricerca | Rensa sökning | Zoekopdracht wissen
Verified artists get a badge. Link your Spotify or Instagram and our team will verify you. | Verificerede kunstnere får et mærke. Tilføj dit Spotify eller Instagram, så verificerer vores team dig. | Verifizierte Artists erhalten ein Abzeichen. Verlinke Spotify oder Instagram, dann verifiziert dich unser Team. | Zweryfikowani artyści dostają odznakę. Dodaj Spotify lub Instagram, a nasz zespół Cię zweryfikuje. | Οι επαληθευμένοι καλλιτέχνες παίρνουν σήμα. Σύνδεσε το Spotify ή το Instagram σου και η ομάδα μας θα σε επαληθεύσει. | Les artistes vérifiés obtiennent un badge. Ajoute ton Spotify ou Instagram et notre équipe te vérifiera. | Los artistas verificados obtienen una insignia. Enlaza tu Spotify o Instagram y nuestro equipo te verificará. | Gli artisti verificati ricevono un badge. Collega Spotify o Instagram e il nostro team ti verificherà. | Verifierade artister får ett märke. Länka ditt Spotify eller Instagram så verifierar vårt team dig. | Geverifieerde artiesten krijgen een badge. Koppel je Spotify of Instagram en ons team verifieert je.
%lld selected | %lld valgt | %lld ausgewählt | %lld wybrano | %lld επιλεγμένα | %lld sélectionnés | %lld seleccionados | %lld selezionati | %lld valda | %lld geselecteerd
Paste profile links, e.g. https://open.spotify.com/artist/… | Indsæt profillinks, fx https://open.spotify.com/artist/… | Füge Profillinks ein, z. B. https://open.spotify.com/artist/… | Wklej linki do profili, np. https://open.spotify.com/artist/… | Επικόλλησε συνδέσμους προφίλ, π.χ. https://open.spotify.com/artist/… | Colle des liens de profil, ex. https://open.spotify.com/artist/… | Pega enlaces de perfil, p. ej. https://open.spotify.com/artist/… | Incolla i link del profilo, es. https://open.spotify.com/artist/… | Klistra in profillänkar, t.ex. https://open.spotify.com/artist/… | Plak profiellinks, bijv. https://open.spotify.com/artist/…
Add a photo | Tilføj et foto | Foto hinzufügen | Dodaj zdjęcie | Πρόσθεσε φωτογραφία | Ajouter une photo | Añadir una foto | Aggiungi una foto | Lägg till en bild | Foto toevoegen
Download a copy of everything EasySesh stores about you (GDPR). Deleting your account removes your profile; receipts are kept as required by accounting law. | Download en kopi af alt, hvad EasySesh gemmer om dig (GDPR). Sletter du din konto, fjernes din profil; kvitteringer opbevares efter bogføringsloven. | Lade eine Kopie aller Daten herunter, die EasySesh über dich speichert (DSGVO). Beim Löschen deines Kontos wird dein Profil entfernt; Belege werden gemäß Buchhaltungsrecht aufbewahrt. | Pobierz kopię wszystkich danych, które EasySesh o Tobie przechowuje (RODO). Usunięcie konta usuwa profil; paragony są przechowywane zgodnie z prawem rachunkowym. | Κατέβασε αντίγραφο όλων όσων αποθηκεύει το EasySesh για σένα (GDPR). Η διαγραφή λογαριασμού αφαιρεί το προφίλ σου· οι αποδείξεις διατηρούνται όπως ορίζει ο λογιστικός νόμος. | Télécharge une copie de tout ce qu'EasySesh conserve sur toi (RGPD). Supprimer ton compte efface ton profil ; les reçus sont conservés comme l'exige la loi comptable. | Descarga una copia de todo lo que EasySesh guarda sobre ti (RGPD). Al eliminar tu cuenta se borra tu perfil; los recibos se conservan según exige la ley contable. | Scarica una copia di tutto ciò che EasySesh conserva su di te (GDPR). Eliminando l'account rimuovi il profilo; le ricevute sono conservate come richiesto dalla legge contabile. | Ladda ner en kopia av allt EasySesh sparar om dig (GDPR). Raderar du kontot tas profilen bort; kvitton sparas enligt bokföringslagen. | Download een kopie van alles wat EasySesh over je bewaart (AVG). Als je je account verwijdert, verdwijnt je profiel; bonnen worden bewaard zoals de boekhoudwet vereist.
Your profile, messages and upcoming bookings will be removed. Receipts are kept for accounting as required by law. | Din profil, dine beskeder og kommende bookinger fjernes. Kvitteringer opbevares til bogføring som påkrævet ved lov. | Dein Profil, deine Nachrichten und anstehenden Buchungen werden entfernt. Belege werden für die Buchhaltung gesetzlich aufbewahrt. | Twój profil, wiadomości i nadchodzące rezerwacje zostaną usunięte. Paragony są przechowywane do celów księgowych zgodnie z prawem. | Το προφίλ, τα μηνύματα και οι επερχόμενες κρατήσεις σου θα διαγραφούν. Οι αποδείξεις διατηρούνται για λογιστικούς σκοπούς όπως ορίζει ο νόμος. | Ton profil, tes messages et tes réservations à venir seront supprimés. Les reçus sont conservés pour la comptabilité comme l'exige la loi. | Se eliminarán tu perfil, tus mensajes y tus próximas reservas. Los recibos se conservan para la contabilidad según exige la ley. | Profilo, messaggi e prenotazioni future verranno rimossi. Le ricevute sono conservate per la contabilità come richiesto dalla legge. | Din profil, dina meddelanden och kommande bokningar tas bort. Kvitton sparas för bokföring enligt lag. | Je profiel, berichten en komende boekingen worden verwijderd. Bonnen worden bewaard voor de boekhouding zoals de wet vereist.
Connect your studio? | Tilknyt dit studie? | Dein Studio verbinden? | Połączyć Twoje studio? | Σύνδεση του στούντιό σου; | Relier ton studio ? | ¿Conectar tu estudio? | Collegare il tuo studio? | Koppla din studio? | Je studio koppelen?
%@ wants to show your artist profile on its page, and the studio on your profile. | %@ vil gerne vise din kunstnerprofil på sin side og studiet på din profil. | %@ möchte dein Artist-Profil auf seiner Seite zeigen und das Studio in deinem Profil. | %@ chce pokazać Twój profil artysty na swojej stronie, a studio na Twoim profilu. | Το %@ θέλει να δείχνει το προφίλ σου στη σελίδα του και το στούντιο στο προφίλ σου. | %@ veut afficher ton profil d'artiste sur sa page, et le studio sur ton profil. | %@ quiere mostrar tu perfil de artista en su página y el estudio en tu perfil. | %@ vuole mostrare il tuo profilo artista sulla sua pagina e lo studio sul tuo profilo. | %@ vill visa din artistprofil på sin sida och studion på din profil. | %@ wil je artiestenprofiel op zijn pagina tonen en de studio op jouw profiel.
A studio | Et studie | Ein Studio | Studio | Ένα στούντιο | Un studio | Un estudio | Uno studio | En studio | Een studio
Ratings from studios | Bedømmelser fra studier | Bewertungen von Studios | Oceny od studiów | Βαθμολογίες από στούντιο | Notes des studios | Valoraciones de estudios | Valutazioni degli studi | Betyg från studior | Beoordelingen van studio's
No ratings yet | Ingen bedømmelser endnu | Noch keine Bewertungen | Brak ocen | Καμία βαθμολογία ακόμα | Pas encore de notes | Aún no hay valoraciones | Ancora nessuna valutazione | Inga betyg än | Nog geen beoordelingen
Studios can rate artists after a completed session. | Studier kan bedømme kunstnere efter en gennemført session. | Studios können Artists nach einer abgeschlossenen Session bewerten. | Studia mogą oceniać artystów po zakończonej sesji. | Τα στούντιο μπορούν να βαθμολογούν καλλιτέχνες μετά από ολοκληρωμένη συνεδρία. | Les studios peuvent noter les artistes après une session terminée. | Los estudios pueden valorar a los artistas tras una sesión completada. | Gli studi possono valutare gli artisti dopo una sessione conclusa. | Studior kan betygsätta artister efter en genomförd session. | Studio's kunnen artiesten beoordelen na een voltooide sessie.
Dispute sent | Klage sendt | Einspruch gesendet | Zgłoszono sprzeciw | Η αμφισβήτηση στάλθηκε | Contestation envoyée | Impugnación enviada | Contestazione inviata | Invändning skickad | Bezwaar verstuurd
Dispute | Klag | Anfechten | Zakwestionuj | Αμφισβήτηση | Contester | Impugnar | Contesta | Bestrid | Betwisten
Dispute this rating | Klag over denne bedømmelse | Diese Bewertung anfechten | Zakwestionuj tę ocenę | Αμφισβήτησε αυτή τη βαθμολογία | Contester cette note | Impugnar esta valoración | Contesta questa valutazione | Bestrid detta betyg | Deze beoordeling betwisten
Our team checks the booking and the rating. If it breaks our guidelines or isn't about a real session, we remove it. | Vores team tjekker bookingen og bedømmelsen. Hvis den bryder vores retningslinjer eller ikke handler om en rigtig session, fjerner vi den. | Unser Team prüft Buchung und Bewertung. Verstößt sie gegen unsere Richtlinien oder betrifft keine echte Session, entfernen wir sie. | Nasz zespół sprawdzi rezerwację i ocenę. Jeśli narusza zasady lub nie dotyczy prawdziwej sesji, usuniemy ją. | Η ομάδα μας ελέγχει την κράτηση και τη βαθμολογία. Αν παραβιάζει τις οδηγίες μας ή δεν αφορά πραγματική συνεδρία, την αφαιρούμε. | Notre équipe vérifie la réservation et la note. Si elle enfreint nos règles ou ne concerne pas une vraie session, nous la supprimons. | Nuestro equipo revisa la reserva y la valoración. Si incumple nuestras normas o no trata de una sesión real, la eliminamos. | Il nostro team controlla prenotazione e valutazione. Se viola le linee guida o non riguarda una sessione reale, la rimuoviamo. | Vårt team granskar bokningen och betyget. Bryter det mot våra riktlinjer eller gäller det inte en riktig session tar vi bort det. | Ons team controleert de boeking en de beoordeling. Als die onze richtlijnen schendt of niet over een echte sessie gaat, verwijderen we hem.
Why is this rating unfair? | Hvorfor er bedømmelsen uretfærdig? | Warum ist diese Bewertung unfair? | Dlaczego ta ocena jest niesprawiedliwa? | Γιατί είναι άδικη αυτή η βαθμολογία; | Pourquoi cette note est-elle injuste ? | ¿Por qué es injusta esta valoración? | Perché questa valutazione è ingiusta? | Varför är betyget orättvist? | Waarom is deze beoordeling oneerlijk?
Send dispute | Send klage | Einspruch senden | Wyślij sprzeciw | Αποστολή αμφισβήτησης | Envoyer la contestation | Enviar impugnación | Invia contestazione | Skicka invändning | Bezwaar versturen
Artist | Kunstner | Artist | Artysta | Καλλιτέχνης | Artiste | Artista | Artista | Artist | Artiest
Remove connection | Fjern tilknytning | Verbindung entfernen | Usuń połączenie | Κατάργηση σύνδεσης | Supprimer le lien | Quitar conexión | Rimuovi collegamento | Ta bort koppling | Koppeling verwijderen
Live | Live | Live | Na żywo | Ενεργό | En ligne | Activo | Attivo | Live | Live
# Server messages
Add a note explaining what the studio should change. | Tilføj en note om, hvad studiet skal ændre. | Füge eine Notiz hinzu, was das Studio ändern soll. | Dodaj notatkę, co studio powinno zmienić. | Πρόσθεσε σημείωση για το τι πρέπει να αλλάξει το στούντιο. | Ajoute une note sur ce que le studio doit changer. | Añade una nota sobre lo que debe cambiar el estudio. | Aggiungi una nota su cosa deve cambiare lo studio. | Lägg till en anteckning om vad studion ska ändra. | Voeg een notitie toe over wat de studio moet aanpassen.
Message is too long (max 4000 characters). | Beskeden er for lang (maks. 4000 tegn). | Die Nachricht ist zu lang (max. 4000 Zeichen). | Wiadomość jest za długa (maks. 4000 znaków). | Το μήνυμα είναι πολύ μεγάλο (μέγ. 4000 χαρακτήρες). | Le message est trop long (4000 caractères max.). | El mensaje es demasiado largo (máx. 4000 caracteres). | Il messaggio è troppo lungo (max 4000 caratteri). | Meddelandet är för långt (max 4000 tecken). | Het bericht is te lang (max. 4000 tekens).
Messages can be at most 2000 characters. | Beskeder må højst være på 2000 tegn. | Nachrichten dürfen höchstens 2000 Zeichen lang sein. | Wiadomości mogą mieć maks. 2000 znaków. | Τα μηνύματα μπορούν να έχουν έως 2000 χαρακτήρες. | Les messages font au maximum 2000 caractères. | Los mensajes pueden tener como máximo 2000 caracteres. | I messaggi possono avere al massimo 2000 caratteri. | Meddelanden får vara högst 2000 tecken. | Berichten mogen maximaal 2000 tekens zijn.
Only approved studios can be promoted. | Kun godkendte studier kan promoveres. | Nur freigegebene Studios können beworben werden. | Promować można tylko zatwierdzone studia. | Μόνο εγκεκριμένα στούντιο μπορούν να προβληθούν. | Seuls les studios validés peuvent être mis en avant. | Solo se pueden promocionar estudios aprobados. | Solo gli studi approvati possono essere promossi. | Bara godkända studior kan marknadsföras. | Alleen goedgekeurde studio's kunnen worden uitgelicht.
Only approved studios can connect an artist profile. | Kun godkendte studier kan tilknytte en kunstnerprofil. | Nur freigegebene Studios können ein Artist-Profil verbinden. | Tylko zatwierdzone studia mogą połączyć profil artysty. | Μόνο εγκεκριμένα στούντιο μπορούν να συνδέσουν προφίλ καλλιτέχνη. | Seuls les studios validés peuvent relier un profil d'artiste. | Solo los estudios aprobados pueden conectar un perfil de artista. | Solo gli studi approvati possono collegare un profilo artista. | Bara godkända studior kan koppla en artistprofil. | Alleen goedgekeurde studio's kunnen een artiestenprofiel koppelen.
Only approved studios can message artists. | Kun godkendte studier kan skrive til kunstnere. | Nur freigegebene Studios können Artists schreiben. | Tylko zatwierdzone studia mogą pisać do artystów. | Μόνο εγκεκριμένα στούντιο μπορούν να στέλνουν μηνύματα σε καλλιτέχνες. | Seuls les studios validés peuvent écrire aux artistes. | Solo los estudios aprobados pueden escribir a artistas. | Solo gli studi approvati possono scrivere agli artisti. | Bara godkända studior kan skriva till artister. | Alleen goedgekeurde studio's kunnen artiesten berichten.
Only artist accounts can book sessions. | Kun kunstnerkonti kan booke sessioner. | Nur Artist-Konten können Sessions buchen. | Tylko konta artystów mogą rezerwować sesje. | Μόνο λογαριασμοί καλλιτεχνών μπορούν να κλείνουν συνεδρίες. | Seuls les comptes artiste peuvent réserver des sessions. | Solo las cuentas de artista pueden reservar sesiones. | Solo gli account artista possono prenotare sessioni. | Bara artistkonton kan boka sessioner. | Alleen artiestenaccounts kunnen sessies boeken.
Only confirmed bookings can be checked in. | Man kan kun tjekke ind på bekræftede bookinger. | Nur bestätigte Buchungen können eingecheckt werden. | Zameldować można tylko potwierdzone rezerwacje. | Check-in γίνεται μόνο σε επιβεβαιωμένες κρατήσεις. | Seules les réservations confirmées permettent l'enregistrement. | Solo se puede hacer check-in en reservas confirmadas. | Il check-in è possibile solo per prenotazioni confermate. | Bara bekräftade bokningar kan checkas in. | Alleen bevestigde boekingen kunnen worden ingecheckt.
Only confirmed bookings can be marked as arrived. | Kun bekræftede bookinger kan markeres som ankommet. | Nur bestätigte Buchungen können als angekommen markiert werden. | Tylko potwierdzone rezerwacje można oznaczyć jako przybycie. | Μόνο επιβεβαιωμένες κρατήσεις μπορούν να σημειωθούν ως άφιξη. | Seules les réservations confirmées peuvent être marquées comme arrivées. | Solo las reservas confirmadas pueden marcarse como llegada. | Solo le prenotazioni confermate possono essere segnate come arrivate. | Bara bekräftade bokningar kan markeras som ankomna. | Alleen bevestigde boekingen kunnen als aangekomen worden gemarkeerd.
Pick 1 to 5 stars. | Vælg 1 til 5 stjerner. | Wähle 1 bis 5 Sterne. | Wybierz od 1 do 5 gwiazdek. | Διάλεξε από 1 έως 5 αστέρια. | Choisis de 1 à 5 étoiles. | Elige de 1 a 5 estrellas. | Scegli da 1 a 5 stelle. | Välj 1 till 5 stjärnor. | Kies 1 tot 5 sterren.
Please tell the artist why you're cancelling. | Fortæl kunstneren, hvorfor du aflyser. | Bitte sag dem Artist, warum du absagst. | Napisz artyście, dlaczego odwołujesz. | Πες στον καλλιτέχνη γιατί ακυρώνεις. | Explique à l'artiste pourquoi tu annules. | Explica al artista por qué cancelas. | Spiega all'artista perché annulli. | Berätta för artisten varför du avbokar. | Laat de artiest weten waarom je annuleert.
Please update the app to read and accept the latest terms. | Opdatér appen for at læse og acceptere de nyeste vilkår. | Bitte aktualisiere die App, um die neuesten Bedingungen zu lesen und zu akzeptieren. | Zaktualizuj aplikację, aby przeczytać i zaakceptować najnowsze warunki. | Ενημέρωσε την εφαρμογή για να διαβάσεις και να αποδεχτείς τους νέους όρους. | Mets à jour l'app pour lire et accepter les dernières conditions. | Actualiza la app para leer y aceptar las últimas condiciones. | Aggiorna l'app per leggere e accettare i termini più recenti. | Uppdatera appen för att läsa och godkänna de senaste villkoren. | Werk de app bij om de nieuwste voorwaarden te lezen en te accepteren.
Sessions can be at most 12 hours. | Sessioner kan højst vare 12 timer. | Sessions dürfen höchstens 12 Stunden dauern. | Sesja może trwać maks. 12 godzin. | Οι συνεδρίες μπορούν να διαρκούν έως 12 ώρες. | Une session dure au maximum 12 heures. | Las sesiones pueden durar como máximo 12 horas. | Le sessioni possono durare al massimo 12 ore. | Sessioner kan vara högst 12 timmar. | Sessies duren maximaal 12 uur.
Tell us why the rating is unfair (at least 10 characters). | Fortæl os, hvorfor bedømmelsen er uretfærdig (mindst 10 tegn). | Sag uns, warum die Bewertung unfair ist (mind. 10 Zeichen). | Napisz, dlaczego ocena jest niesprawiedliwa (min. 10 znaków). | Πες μας γιατί η βαθμολογία είναι άδικη (τουλάχιστον 10 χαρακτήρες). | Explique pourquoi la note est injuste (10 caractères min.). | Explica por qué la valoración es injusta (mín. 10 caracteres). | Spiega perché la valutazione è ingiusta (almeno 10 caratteri). | Berätta varför betyget är orättvist (minst 10 tecken). | Vertel waarom de beoordeling oneerlijk is (min. 10 tekens).
The session hasn't started yet. | Sessionen er ikke startet endnu. | Die Session hat noch nicht begonnen. | Sesja jeszcze się nie rozpoczęła. | Η συνεδρία δεν έχει ξεκινήσει ακόμα. | La session n'a pas encore commencé. | La sesión aún no ha empezado. | La sessione non è ancora iniziata. | Sessionen har inte börjat än. | De sessie is nog niet begonnen.
This account already has a role. Contact support to change it. | Kontoen har allerede en rolle. Kontakt support for at ændre den. | Dieses Konto hat bereits eine Rolle. Wende dich an den Support, um sie zu ändern. | To konto ma już rolę. Skontaktuj się z pomocą, aby ją zmienić. | Ο λογαριασμός έχει ήδη ρόλο. Επικοινώνησε με την υποστήριξη για αλλαγή. | Ce compte a déjà un rôle. Contacte l'assistance pour le changer. | Esta cuenta ya tiene un rol. Contacta con soporte para cambiarlo. | Questo account ha già un ruolo. Contatta l'assistenza per cambiarlo. | Kontot har redan en roll. Kontakta support för att ändra den. | Dit account heeft al een rol. Neem contact op met support om die te wijzigen.
This artist isn't accepting messages from your studio. | Kunstneren modtager ikke beskeder fra dit studie. | Dieser Artist nimmt keine Nachrichten von deinem Studio an. | Ten artysta nie przyjmuje wiadomości od Twojego studia. | Ο καλλιτέχνης δεν δέχεται μηνύματα από το στούντιό σου. | Cet artiste n'accepte pas les messages de ton studio. | Este artista no acepta mensajes de tu estudio. | Questo artista non accetta messaggi dal tuo studio. | Artisten tar inte emot meddelanden från din studio. | Deze artiest accepteert geen berichten van je studio.
