# en | da | de | pl | el | fr | es | it | sv | nl
Welcome to EasySesh | Velkommen til EasySesh | Willkommen bei EasySesh | Witaj w EasySesh | Καλώς ήρθατε στο EasySesh | Bienvenue sur EasySesh | Bienvenido a EasySesh | Benvenuto su EasySesh | Välkommen till EasySesh | Welkom bij EasySesh
App settings | Appindstillinger | App-Einstellungen | Ustawienia aplikacji | Ρυθμίσεις εφαρμογής | Réglages de l'app | Ajustes de la app | Impostazioni app | Appinställningar | App-instellingen
Language, appearance, effects and storage on this device. | Sprog, udseende, effekter og lagerplads på denne enhed. | Sprache, Darstellung, Effekte und Speicher auf diesem Gerät. | Język, wygląd, efekty i pamięć na tym urządzeniu. | Γλώσσα, εμφάνιση, εφέ και αποθηκευτικός χώρος σε αυτή τη συσκευή. | Langue, apparence, effets et stockage sur cet appareil. | Idioma, apariencia, efectos y almacenamiento en este dispositivo. | Lingua, aspetto, effetti e spazio su questo dispositivo. | Språk, utseende, effekter och lagring på den här enheten. | Taal, weergave, effecten en opslag op dit apparaat.
Language, look, storage | Sprog, udseende, lager | Sprache, Look, Speicher | Język, wygląd, pamięć | Γλώσσα, εμφάνιση, χώρος | Langue, apparence, stockage | Idioma, aspecto, almacenamiento | Lingua, aspetto, spazio | Språk, utseende, lagring | Taal, uiterlijk, opslag
Appearance | Udseende | Darstellung | Wygląd | Εμφάνιση | Apparence | Apariencia | Aspetto | Utseende | Weergave
Automatic | Automatisk | Automatisch | Automatycznie | Αυτόματο | Automatique | Automático | Automatico | Automatiskt | Automatisch
Light | Lys | Hell | Jasny | Φωτεινό | Clair | Claro | Chiaro | Ljust | Licht
Dark | Mørk | Dunkel | Ciemny | Σκοτεινό | Sombre | Oscuro | Scuro | Mörkt | Donker
Look & feel | Udseende og fornemmelse | Look & Feel | Wygląd i działanie | Εμφάνιση & αίσθηση | Apparence et sensations | Aspecto y sensación | Aspetto e sensazioni | Utseende och känsla | Uiterlijk en gevoel
Reduce visual effects | Reducér visuelle effekter | Visuelle Effekte reduzieren | Ogranicz efekty wizualne | Μείωση οπτικών εφέ | Réduire les effets visuels | Reducir efectos visuales | Riduci effetti visivi | Minska visuella effekter | Visuele effecten beperken
Reduce visual effects turns off moving backgrounds and pulsing animations. It can also save battery. | Reducér visuelle effekter slår bevægelige baggrunde og pulserende animationer fra. Det kan også spare batteri. | Damit werden bewegte Hintergründe und pulsierende Animationen ausgeschaltet. Das kann auch Akku sparen. | Wyłącza ruchome tła i pulsujące animacje. Może też oszczędzać baterię. | Απενεργοποιεί τα κινούμενα φόντα και τα κινούμενα εφέ. Εξοικονομεί επίσης μπαταρία. | Désactive les fonds animés et les animations pulsées. Cela peut aussi économiser la batterie. | Desactiva los fondos en movimiento y las animaciones. También puede ahorrar batería. | Disattiva sfondi animati e animazioni pulsanti. Può anche far risparmiare batteria. | Stänger av rörliga bakgrunder och pulserande animationer. Det kan också spara batteri. | Schakelt bewegende achtergronden en pulserende animaties uit. Dit kan ook batterij besparen.
Haptics | Haptik | Haptik | Wibracje | Απτική απόκριση | Retour haptique | Vibración | Feedback aptico | Haptik | Haptiek
Storage | Lager | Speicher | Pamięć | Αποθήκευση | Stockage | Almacenamiento | Spazio | Lagring | Opslag
Cached images & data | Cachelagrede billeder og data | Zwischengespeicherte Bilder & Daten | Zapisane obrazy i dane | Προσωρινές εικόνες & δεδομένα | Images et données en cache | Imágenes y datos en caché | Immagini e dati in cache | Cachade bilder och data | Gecachte afbeeldingen en gegevens
Clear cache | Ryd cache | Cache leeren | Wyczyść pamięć podręczną | Εκκαθάριση cache | Vider le cache | Borrar caché | Svuota cache | Rensa cache | Cache wissen
Cache cleared | Cache ryddet | Cache geleert | Pamięć wyczyszczona | Η cache εκκαθαρίστηκε | Cache vidé | Caché borrada | Cache svuotata | Cachen rensad | Cache gewist
Clear cached images and data? | Ryd cachelagrede billeder og data? | Zwischengespeicherte Bilder und Daten löschen? | Wyczyścić zapisane obrazy i dane? | Εκκαθάριση προσωρινών εικόνων και δεδομένων; | Vider les images et données en cache ? | ¿Borrar imágenes y datos en caché? | Svuotare immagini e dati in cache? | Rensa cachade bilder och data? | Gecachte afbeeldingen en gegevens wissen?
Photos are downloaded again when you need them. Your account, bookings and messages are not affected. | Billeder hentes igen, når du skal bruge dem. Din konto, bookinger og beskeder påvirkes ikke. | Fotos werden bei Bedarf neu geladen. Konto, Buchungen und Nachrichten bleiben erhalten. | Zdjęcia zostaną pobrane ponownie, gdy będą potrzebne. Konto, rezerwacje i wiadomości pozostaną bez zmian. | Οι φωτογραφίες θα κατέβουν ξανά όταν χρειαστεί. Ο λογαριασμός, οι κρατήσεις και τα μηνύματα δεν επηρεάζονται. | Les photos sont retéléchargées si besoin. Ton compte, tes réservations et tes messages ne sont pas affectés. | Las fotos se descargan de nuevo cuando las necesites. Tu cuenta, reservas y mensajes no se ven afectados. | Le foto vengono riscaricate quando servono. Account, prenotazioni e messaggi non vengono toccati. | Bilder laddas ner igen när de behövs. Konto, bokningar och meddelanden påverkas inte. | Foto's worden opnieuw gedownload wanneer nodig. Je account, boekingen en berichten blijven behouden.
Tutorials | Introduktioner | Einführungen | Samouczki | Οδηγοί | Tutoriels | Tutoriales | Tutorial | Guider | Uitleg
Show the intro again | Vis introduktionen igen | Einführung erneut zeigen | Pokaż wprowadzenie ponownie | Εμφάνιση εισαγωγής ξανά | Revoir l'introduction | Ver la introducción de nuevo | Mostra di nuovo l'introduzione | Visa introduktionen igen | Intro opnieuw tonen
Replay the studio tour | Afspil studieturen igen | Studio-Tour wiederholen | Powtórz przewodnik po studiu | Επανάληψη ξενάγησης στούντιο | Revoir la visite du studio | Repetir el tour del estudio | Rivedi il tour dello studio | Spela upp studioguiden igen | Studiotour opnieuw bekijken
Most text changes right away. A few system texts update the next time you open the app. | Det meste tekst skifter med det samme. Enkelte systemtekster opdateres, næste gang du åbner appen. | Die meisten Texte ändern sich sofort. Einige Systemtexte erst beim nächsten Öffnen der App. | Większość tekstów zmienia się od razu. Niektóre teksty systemowe zmienią się po ponownym otwarciu aplikacji. | Τα περισσότερα κείμενα αλλάζουν αμέσως. Ορισμένα κείμενα συστήματος αλλάζουν στο επόμενο άνοιγμα. | La plupart des textes changent tout de suite. Certains textes système changent à la prochaine ouverture. | La mayoría de textos cambian al instante. Algunos textos del sistema cambian al volver a abrir la app. | La maggior parte dei testi cambia subito. Alcuni testi di sistema alla prossima apertura dell'app. | Det mesta ändras direkt. Vissa systemtexter uppdateras nästa gång du öppnar appen. | De meeste teksten veranderen meteen. Sommige systeemteksten pas bij de volgende keer openen.
Terms, privacy & policies | Vilkår, privatliv og politikker | AGB, Datenschutz & Richtlinien | Regulamin, prywatność i zasady | Όροι, απόρρητο & πολιτικές | Conditions, confidentialité et règles | Términos, privacidad y políticas | Termini, privacy e regole | Villkor, integritet och policyer | Voorwaarden, privacy en beleid
Terms & privacy | Vilkår og privatliv | AGB & Datenschutz | Regulamin i prywatność | Όροι & απόρρητο | Conditions et confidentialité | Términos y privacidad | Termini e privacy | Villkor och integritet | Voorwaarden en privacy
You're live on EasySesh! | Du er live på EasySesh! | Du bist live auf EasySesh! | Jesteś już w EasySesh! | Είσαι πλέον live στο EasySesh! | Tu es en ligne sur EasySesh ! | ¡Ya estás en EasySesh! | Sei online su EasySesh! | Du är live på EasySesh! | Je staat live op EasySesh!
Your studio was approved and artists can now book you. Here's a 30-second tour of where everything is. | Dit studie er godkendt, og kunstnere kan nu booke dig. Her er en rundvisning på 30 sekunder. | Dein Studio wurde freigegeben und kann jetzt gebucht werden. Hier ist eine 30-Sekunden-Tour. | Twoje studio zostało zatwierdzone i artyści mogą już rezerwować. Oto 30-sekundowy przewodnik. | Το στούντιό σου εγκρίθηκε και οι καλλιτέχνες μπορούν να κάνουν κράτηση. Ορίστε μια ξενάγηση 30 δευτερολέπτων. | Ton studio a été approuvé et les artistes peuvent réserver. Voici une visite de 30 secondes. | Tu estudio ha sido aprobado y ya pueden reservarte. Aquí tienes un tour de 30 segundos. | Il tuo studio è stato approvato e gli artisti possono prenotare. Ecco un tour di 30 secondi. | Din studio är godkänd och artister kan nu boka dig. Här är en guide på 30 sekunder. | Je studio is goedgekeurd en artiesten kunnen je nu boeken. Hier is een tour van 30 seconden.
Earnings, booking requests and upcoming sessions at a glance. Go live or pause your studio here. | Indtjening, bookinganmodninger og kommende sessions på ét sted. Gå live eller sæt studiet på pause her. | Einnahmen, Anfragen und anstehende Sessions auf einen Blick. Hier gehst du live oder pausierst. | Zarobki, prośby o rezerwację i nadchodzące sesje w jednym miejscu. Tu włączysz lub wstrzymasz studio. | Έσοδα, αιτήματα κρατήσεων και επερχόμενες συνεδρίες με μια ματιά. Εδώ ενεργοποιείς ή σταματάς το στούντιο. | Revenus, demandes et sessions à venir en un coup d'œil. Mets ton studio en ligne ou en pause ici. | Ingresos, solicitudes y próximas sesiones de un vistazo. Activa o pausa tu estudio aquí. | Guadagni, richieste e sessioni in arrivo a colpo d'occhio. Metti online o in pausa lo studio da qui. | Intäkter, förfrågningar och kommande sessioner i en överblick. Gå live eller pausa studion här. | Inkomsten, aanvragen en komende sessies in één oogopslag. Zet je studio hier live of op pauze.
Every session by day. Block time when the studio is busy so nobody can book it. | Alle sessions dag for dag. Blokér tid, når studiet er optaget, så ingen kan booke den. | Alle Sessions nach Tagen. Blockiere Zeiten, wenn das Studio belegt ist. | Wszystkie sesje dzień po dniu. Zablokuj czas, gdy studio jest zajęte. | Όλες οι συνεδρίες ανά ημέρα. Μπλόκαρε ώρες όταν το στούντιο είναι απασχολημένο. | Toutes les sessions jour par jour. Bloque les créneaux quand le studio est occupé. | Todas las sesiones por día. Bloquea horas cuando el estudio esté ocupado. | Tutte le sessioni giorno per giorno. Blocca gli orari quando lo studio è occupato. | Alla sessioner dag för dag. Blockera tid när studion är upptagen. | Alle sessies per dag. Blokkeer tijd wanneer de studio bezet is.
Chat with artists about their bookings, or write to an artist first with the ✎ button. | Skriv med kunstnere om deres bookinger, eller skriv først til en kunstner med ✎-knappen. | Chatte mit Künstler:innen über Buchungen oder schreib sie mit ✎ zuerst an. | Rozmawiaj z artystami o rezerwacjach lub napisz pierwszy przyciskiem ✎. | Συζήτησε με καλλιτέχνες για τις κρατήσεις τους ή γράψε πρώτος με το κουμπί ✎. | Discute avec les artistes de leurs réservations, ou écris-leur en premier avec ✎. | Habla con artistas sobre sus reservas o escríbeles primero con el botón ✎. | Chatta con gli artisti sulle prenotazioni o scrivi per primo con il pulsante ✎. | Chatta med artister om bokningar, eller skriv först med ✎-knappen. | Chat met artiesten over hun boekingen, of schrijf eerst met de ✎-knop.
Booking requests, reviews and payouts land here and as push notifications. | Bookinganmodninger, anmeldelser og udbetalinger lander her og som pushbeskeder. | Anfragen, Bewertungen und Auszahlungen erscheinen hier und als Mitteilungen. | Prośby o rezerwację, opinie i wypłaty trafiają tutaj i jako powiadomienia push. | Αιτήματα κρατήσεων, κριτικές και πληρωμές εμφανίζονται εδώ και ως ειδοποιήσεις. | Demandes, avis et versements arrivent ici et en notifications. | Solicitudes, reseñas y pagos llegan aquí y como notificaciones. | Richieste, recensioni e pagamenti arrivano qui e come notifiche. | Förfrågningar, recensioner och utbetalningar hamnar här och som pushnotiser. | Aanvragen, beoordelingen en uitbetalingen komen hier en als pushmeldingen binnen.
Your studio | Dit studie | Dein Studio | Twoje studio | Το στούντιό σου | Ton studio | Tu estudio | Il tuo studio | Din studio | Jouw studio
Edit your listing, prices and opening hours, set up payouts and change app settings. | Redigér din annonce, priser og åbningstider, opsæt udbetalinger og skift appindstillinger. | Bearbeite dein Profil, Preise und Öffnungszeiten, richte Auszahlungen ein und ändere App-Einstellungen. | Edytuj ogłoszenie, ceny i godziny, skonfiguruj wypłaty i ustawienia aplikacji. | Επεξεργάσου την καταχώριση, τιμές και ωράριο, ρύθμισε πληρωμές και ρυθμίσεις εφαρμογής. | Modifie ton annonce, tes tarifs et horaires, configure les versements et les réglages. | Edita tu anuncio, precios y horario, configura los pagos y los ajustes. | Modifica annuncio, prezzi e orari, imposta i pagamenti e le impostazioni dell'app. | Redigera annons, priser och öppettider, ställ in utbetalningar och appinställningar. | Bewerk je vermelding, prijzen en openingstijden, stel uitbetalingen en app-instellingen in.
Let's go | Kom så | Los geht's | Zaczynajmy | Πάμε | C'est parti | Vamos | Andiamo | Nu kör vi | Aan de slag
All | Alle | Alle | Wszystkie | Όλα | Tout | Todo | Tutti | Alla | Alles
Sent requests | Sendte anmodninger | Gesendete Anfragen | Wysłane prośby | Απεσταλμένα αιτήματα | Demandes envoyées | Solicitudes enviadas | Richieste inviate | Skickade förfrågningar | Verzonden verzoeken
Message requests | Beskedanmodninger | Nachrichtenanfragen | Prośby o wiadomość | Αιτήματα μηνυμάτων | Demandes de message | Solicitudes de mensaje | Richieste di messaggio | Meddelandeförfrågningar | Berichtverzoeken
1 studio wants to talk to you | 1 studie vil gerne skrive med dig | 1 Studio möchte mit dir schreiben | 1 studio chce z tobą porozmawiać | 1 στούντιο θέλει να σου μιλήσει | 1 studio souhaite te parler | 1 estudio quiere hablar contigo | 1 studio vuole parlarti | 1 studio vill prata med dig | 1 studio wil met je praten
No messages yet | Ingen beskeder endnu | Noch keine Nachrichten | Brak wiadomości | Δεν υπάρχουν μηνύματα | Aucun message | Aún no hay mensajes | Ancora nessun messaggio | Inga meddelanden än | Nog geen berichten
You're all caught up | Du er helt opdateret | Du bist auf dem neuesten Stand | Wszystko przeczytane | Είσαι ενημερωμένος | Tu es à jour | Estás al día | Sei aggiornato | Du är ikapp | Je bent helemaal bij
No message requests | Ingen beskedanmodninger | Keine Nachrichtenanfragen | Brak próśb o wiadomość | Δεν υπάρχουν αιτήματα | Aucune demande de message | No hay solicitudes | Nessuna richiesta | Inga förfrågningar | Geen berichtverzoeken
No pending requests | Ingen ventende anmodninger | Keine offenen Anfragen | Brak oczekujących próśb | Δεν υπάρχουν εκκρεμή αιτήματα | Aucune demande en attente | No hay solicitudes pendientes | Nessuna richiesta in sospeso | Inga väntande förfrågningar | Geen openstaande verzoeken
When a studio you haven't booked writes to you, it shows up here first. | Når et studie, du ikke har booket, skriver til dig, dukker det op her først. | Schreibt dir ein Studio, das du noch nicht gebucht hast, landet es zuerst hier. | Gdy napisze do ciebie studio, którego nie rezerwowałeś, wiadomość pojawi się najpierw tutaj. | Όταν σου γράφει στούντιο που δεν έχεις κλείσει, εμφανίζεται πρώτα εδώ. | Quand un studio que tu n'as pas réservé t'écrit, son message arrive d'abord ici. | Cuando te escribe un estudio que no has reservado, aparece aquí primero. | Quando ti scrive uno studio che non hai prenotato, compare prima qui. | När en studio du inte bokat skriver till dig hamnar det här först. | Als een studio die je nog niet hebt geboekt je schrijft, verschijnt dat eerst hier.
Message a studio from its profile or from one of your bookings. | Skriv til et studie fra dets profil eller fra en af dine bookinger. | Schreib einem Studio über sein Profil oder eine deiner Buchungen. | Napisz do studia z jego profilu lub z jednej ze swoich rezerwacji. | Γράψε σε ένα στούντιο από το προφίλ του ή από μια κράτησή σου. | Écris à un studio depuis son profil ou l'une de tes réservations. | Escribe a un estudio desde su perfil o una de tus reservas. | Scrivi a uno studio dal suo profilo o da una tua prenotazione. | Skriv till en studio från dess profil eller en av dina bokningar. | Stuur een studio een bericht vanaf het profiel of een van je boekingen.
New message | Ny besked | Neue Nachricht | Nowa wiadomość | Νέο μήνυμα | Nouveau message | Nuevo mensaje | Nuovo messaggio | Nytt meddelande | Nieuw bericht
New conversation | Ny samtale | Neue Unterhaltung | Nowa rozmowa | Νέα συνομιλία | Nouvelle conversation | Nueva conversación | Nuova conversazione | Ny konversation | Nieuw gesprek
Search artists | Søg efter kunstnere | Künstler:innen suchen | Szukaj artystów | Αναζήτηση καλλιτεχνών | Rechercher des artistes | Buscar artistas | Cerca artisti | Sök artister | Artiesten zoeken
Your artists | Dine kunstnere | Deine Künstler:innen | Twoi artyści | Οι καλλιτέχνες σου | Tes artistes | Tus artistas | I tuoi artisti | Dina artister | Jouw artiesten
Booked you | Har booket dig | Hat dich gebucht | Rezerwował | Σε έχει κλείσει | T'a réservé | Te ha reservado | Ti ha prenotato | Har bokat dig | Heeft je geboekt
No artists found. | Ingen kunstnere fundet. | Keine Künstler:innen gefunden. | Nie znaleziono artystów. | Δεν βρέθηκαν καλλιτέχνες. | Aucun artiste trouvé. | No se encontraron artistas. | Nessun artista trovato. | Inga artister hittades. | Geen artiesten gevonden.
Write a message… | Skriv en besked… | Nachricht schreiben… | Napisz wiadomość… | Γράψε ένα μήνυμα… | Écris un message… | Escribe un mensaje… | Scrivi un messaggio… | Skriv ett meddelande… | Schrijf een bericht…
Goes straight to their inbox. | Lander direkte i deres indbakke. | Landet direkt im Posteingang. | Trafi prosto do skrzynki. | Πηγαίνει κατευθείαν στα εισερχόμενα. | Arrive directement dans sa boîte de réception. | Llega directamente a su bandeja. | Arriva direttamente nella posta. | Hamnar direkt i inkorgen. | Komt direct in de inbox.
They'll get it as a message request and can accept or delete it. | De får den som en beskedanmodning og kan acceptere eller slette den. | Es kommt als Nachrichtenanfrage an und kann angenommen oder gelöscht werden. | Otrzymają ją jako prośbę o wiadomość i mogą ją zaakceptować lub usunąć. | Θα το λάβουν ως αίτημα μηνύματος και μπορούν να το αποδεχτούν ή να το διαγράψουν. | Le message arrivera comme demande, qu'il pourra accepter ou supprimer. | Lo recibirá como solicitud de mensaje y podrá aceptarla o eliminarla. | Lo riceverà come richiesta di messaggio e potrà accettarla o eliminarla. | De får det som en meddelandeförfrågan och kan acceptera eller radera den. | Ze krijgen het als berichtverzoek en kunnen het accepteren of verwijderen.
Be personal and relevant. Studios that spam artists can be suspended. | Vær personlig og relevant. Studier, der spammer kunstnere, kan blive suspenderet. | Sei persönlich und relevant. Studios, die Künstler:innen spammen, können gesperrt werden. | Pisz osobiście i na temat. Studia wysyłające spam mogą zostać zawieszone. | Γίνε προσωπικός και σχετικός. Στούντιο που στέλνουν spam μπορεί να ανασταλούν. | Sois personnel et pertinent. Les studios qui spamment peuvent être suspendus. | Sé personal y relevante. Los estudios que envíen spam pueden ser suspendidos. | Sii personale e pertinente. Gli studi che fanno spam possono essere sospesi. | Var personlig och relevant. Studior som spammar kan stängas av. | Wees persoonlijk en relevant. Studio's die spammen kunnen worden geschorst.
Request sent | Anmodning sendt | Anfrage gesendet | Prośba wysłana | Το αίτημα στάλθηκε | Demande envoyée | Solicitud enviada | Richiesta inviata | Förfrågan skickad | Verzoek verzonden
Delete request | Slet anmodning | Anfrage löschen | Usuń prośbę | Διαγραφή αιτήματος | Supprimer la demande | Eliminar solicitud | Elimina richiesta | Radera förfrågan | Verzoek verwijderen
Accept to reply. They won't know you've seen it until you do. | Acceptér for at svare. De ved ikke, at du har set den, før du gør. | Nimm an, um zu antworten. Vorher sieht niemand, dass du es gelesen hast. | Zaakceptuj, aby odpowiedzieć. Nie dowiedzą się, że to widziałeś, dopóki tego nie zrobisz. | Αποδέξου για να απαντήσεις. Δεν θα ξέρουν ότι το είδες μέχρι τότε. | Accepte pour répondre. Personne ne saura que tu l'as vu avant. | Acepta para responder. No sabrán que lo has visto hasta entonces. | Accetta per rispondere. Non sapranno che l'hai visto finché non lo fai. | Acceptera för att svara. De vet inte att du sett det förrän du gör det. | Accepteer om te antwoorden. Ze weten pas dat je het gezien hebt als je dat doet.
This artist isn't accepting messages from your studio. | Denne kunstner modtager ikke beskeder fra dit studie. | Diese:r Künstler:in nimmt keine Nachrichten von deinem Studio an. | Ten artysta nie przyjmuje wiadomości od twojego studia. | Ο καλλιτέχνης δεν δέχεται μηνύματα από το στούντιό σου. | Cet artiste n'accepte pas les messages de ton studio. | Este artista no acepta mensajes de tu estudio. | Questo artista non accetta messaggi dal tuo studio. | Den här artisten tar inte emot meddelanden från din studio. | Deze artiest accepteert geen berichten van je studio.
Mark all read | Markér alle som læst | Alle als gelesen markieren | Oznacz wszystkie jako przeczytane | Σήμανση όλων ως αναγνωσμένα | Tout marquer comme lu | Marcar todo como leído | Segna tutto come letto | Markera alla som lästa | Alles als gelezen markeren
Bookings, messages and payouts show up here. | Bookinger, beskeder og udbetalinger vises her. | Buchungen, Nachrichten und Auszahlungen erscheinen hier. | Tutaj pojawią się rezerwacje, wiadomości i wypłaty. | Κρατήσεις, μηνύματα και πληρωμές εμφανίζονται εδώ. | Réservations, messages et versements s'affichent ici. | Aquí aparecen reservas, mensajes y pagos. | Qui compaiono prenotazioni, messaggi e pagamenti. | Bokningar, meddelanden och utbetalningar visas här. | Boekingen, berichten en uitbetalingen verschijnen hier.
Help & support | Hjælp og support | Hilfe & Support | Pomoc i wsparcie | Βοήθεια & υποστήριξη | Aide et assistance | Ayuda y soporte | Aiuto e assistenza | Hjälp och support | Hulp en support
Contact support | Kontakt support | Support kontaktieren | Skontaktuj się z pomocą | Επικοινωνία με υποστήριξη | Contacter l'assistance | Contactar con soporte | Contatta l'assistenza | Kontakta support | Contact opnemen
We usually reply within 24 hours. | Vi svarer normalt inden for 24 timer. | Wir antworten meist innerhalb von 24 Stunden. | Zwykle odpowiadamy w ciągu 24 godzin. | Συνήθως απαντάμε μέσα σε 24 ώρες. | Nous répondons généralement sous 24 heures. | Solemos responder en 24 horas. | Di solito rispondiamo entro 24 ore. | Vi svarar oftast inom 24 timmar. | We reageren meestal binnen 24 uur.
Your requests | Dine henvendelser | Deine Anfragen | Twoje zgłoszenia | Τα αιτήματά σου | Tes demandes | Tus solicitudes | Le tue richieste | Dina ärenden | Jouw verzoeken
Policies | Politikker | Richtlinien | Zasady | Πολιτικές | Règles | Políticas | Regole | Policyer | Beleid
Refund & cancellation policy | Refusions- og afbestillingspolitik | Erstattungs- & Stornobedingungen | Zasady zwrotów i anulowania | Πολιτική επιστροφών & ακυρώσεων | Politique de remboursement et d'annulation | Política de reembolso y cancelación | Politica di rimborso e cancellazione | Återbetalnings- och avbokningspolicy | Terugbetalings- en annuleringsbeleid
What's it about? | Hvad drejer det sig om? | Worum geht es? | Czego to dotyczy? | Τι αφορά; | De quoi s'agit-il ? | ¿De qué se trata? | Di cosa si tratta? | Vad gäller det? | Waar gaat het over?
Topic | Emne | Thema | Temat | Θέμα | Sujet | Tema | Argomento | Ämne | Onderwerp
Subject | Emne | Betreff | Temat | Θέμα | Objet | Asunto | Oggetto | Ämne | Onderwerp
Describe what happened… | Beskriv, hvad der skete… | Beschreibe, was passiert ist… | Opisz, co się stało… | Περιέγραψε τι συνέβη… | Décris ce qui s'est passé… | Describe lo que pasó… | Descrivi cosa è successo… | Beskriv vad som hände… | Beschrijf wat er gebeurde…
