# en | da | de | pl | el | fr | es | it | sv | nl
# Sign-up, support, studio editor, studio dashboard, promotions
Tagline, e.g. “Warm analog vocals in Exarchia” | Slogan, fx “Varm analog vokal i Exarchia” | Slogan, z. B. „Warme analoge Vocals in Exarchia“ | Hasło, np. „Ciepły analogowy wokal w Exarchii“ | Σλόγκαν, π.χ. «Ζεστά αναλογικά φωνητικά στα Εξάρχεια» | Accroche, ex. « Voix analogiques chaudes à Exarchia » | Eslogan, p. ej. «Voces analógicas cálidas en Exarchia» | Slogan, es. «Voci analogiche calde a Exarchia» | Slogan, t.ex. ”Varm analog sång i Exarchia” | Slogan, bijv. ‘Warme analoge vocals in Exarchia’
Describe the rooms, the vibe, who you work with… | Beskriv rummene, stemningen, hvem du arbejder med … | Beschreibe die Räume, den Vibe, mit wem du arbeitest … | Opisz pomieszczenia, klimat, z kim pracujesz… | Περίγραψε τους χώρους, την ατμόσφαιρα, με ποιους δουλεύεις… | Décris les pièces, l'ambiance, avec qui tu travailles… | Describe las salas, el ambiente, con quién trabajas… | Descrivi le sale, l'atmosfera, con chi lavori… | Beskriv rummen, stämningen, vem du jobbar med … | Beschrijf de ruimtes, de sfeer, met wie je werkt…
%lld characters (min. 40) | %lld tegn (min. 40) | %lld Zeichen (min. 40) | %lld znaków (min. 40) | %lld χαρακτήρες (ελάχ. 40) | %lld caractères (min. 40) | %lld caracteres (mín. 40) | %lld caratteri (min. 40) | %lld tecken (minst 40) | %lld tekens (min. 40)
Video link (YouTube, Vimeo…) | Videolink (YouTube, Vimeo …) | Videolink (YouTube, Vimeo …) | Link do wideo (YouTube, Vimeo…) | Σύνδεσμος βίντεο (YouTube, Vimeo…) | Lien vidéo (YouTube, Vimeo…) | Enlace de vídeo (YouTube, Vimeo…) | Link video (YouTube, Vimeo…) | Videolänk (YouTube, Vimeo …) | Videolink (YouTube, Vimeo…)
Photos & video | Fotos og video | Fotos & Video | Zdjęcia i wideo | Φωτογραφίες και βίντεο | Photos et vidéo | Fotos y vídeo | Foto e video | Bilder och video | Foto's en video
The first photo is your cover. Show the live room, control room and booth. | Det første foto er dit cover. Vis liverummet, kontrolrummet og boksen. | Das erste Foto ist dein Titelbild. Zeig Aufnahmeraum, Regie und Kabine. | Pierwsze zdjęcie to okładka. Pokaż salę nagrań, reżyserkę i kabinę. | Η πρώτη φωτογραφία είναι το εξώφυλλο. Δείξε το live room, το control room και το booth. | La première photo est ta couverture. Montre la salle de prise, la régie et la cabine. | La primera foto es tu portada. Muestra la sala de grabación, la sala de control y la cabina. | La prima foto è la copertina. Mostra sala di ripresa, regia e cabina. | Första bilden är ditt omslag. Visa inspelningsrummet, kontrollrummet och båset. | De eerste foto is je omslag. Laat de opnameruimte, regiekamer en cabine zien.
Street and number | Gade og nummer | Straße und Hausnummer | Ulica i numer | Οδός και αριθμός | Rue et numéro | Calle y número | Via e numero civico | Gata och nummer | Straat en huisnummer
Postal code | Postnummer | Postleitzahl | Kod pocztowy | Ταχυδρομικός κώδικας | Code postal | Código postal | CAP | Postnummer | Postcode
Area / neighbourhood | Område / bydel | Gegend / Viertel | Okolica / dzielnica | Περιοχή / γειτονιά | Quartier | Zona / barrio | Zona / quartiere | Område / stadsdel | Wijk / buurt
Country | Land | Land | Kraj | Χώρα | Pays | País | Paese | Land | Land
Artists see the area before booking and the full address after booking. | Kunstnere ser området før booking og den fulde adresse efter booking. | Artists sehen vor der Buchung die Gegend und danach die vollständige Adresse. | Artyści widzą okolicę przed rezerwacją, a pełny adres po rezerwacji. | Οι καλλιτέχνες βλέπουν την περιοχή πριν την κράτηση και την πλήρη διεύθυνση μετά. | Les artistes voient le quartier avant de réserver et l'adresse complète après. | Los artistas ven la zona antes de reservar y la dirección completa después. | Gli artisti vedono la zona prima di prenotare e l'indirizzo completo dopo. | Artister ser området före bokning och hela adressen efter bokning. | Artiesten zien de buurt voor het boeken en het volledige adres erna.
Finding… | Finder … | Wird gesucht … | Wyszukiwanie… | Αναζήτηση… | Recherche… | Buscando… | Ricerca… | Söker … | Zoeken…
Find on map | Find på kort | Auf der Karte finden | Znajdź na mapie | Εύρεση στον χάρτη | Trouver sur la carte | Buscar en el mapa | Trova sulla mappa | Hitta på kartan | Zoeken op kaart
Contact | Kontakt | Kontakt | Kontakt | Επικοινωνία | Contact | Contacto | Contatti | Kontakt | Contact
We couldn't find that address. Check the spelling. | Vi kunne ikke finde adressen. Tjek stavningen. | Wir konnten die Adresse nicht finden. Prüfe die Schreibweise. | Nie znaleźliśmy tego adresu. Sprawdź pisownię. | Δεν βρήκαμε τη διεύθυνση. Έλεγξε την ορθογραφία. | Adresse introuvable. Vérifie l'orthographe. | No encontramos esa dirección. Revisa la ortografía. | Indirizzo non trovato. Controlla l'ortografia. | Vi hittade inte adressen. Kontrollera stavningen. | We konden dat adres niet vinden. Controleer de spelling.
Currency | Valuta | Währung | Waluta | Νόμισμα | Devise | Moneda | Valuta | Valuta | Valuta
Session name | Sessionsnavn | Name der Session | Nazwa sesji | Όνομα συνεδρίας | Nom de la session | Nombre de la sesión | Nome della sessione | Sessionsnamn | Naam van de sessie
Short description | Kort beskrivelse | Kurzbeschreibung | Krótki opis | Σύντομη περιγραφή | Brève description | Descripción breve | Breve descrizione | Kort beskrivning | Korte beschrijving
Per hour | Pr. time | Pro Stunde | Za godzinę | Ανά ώρα | Par heure | Por hora | All'ora | Per timme | Per uur
Minimum %lld h | Minimum %lld t | Mindestens %lld Std. | Minimum %lld godz. | Ελάχιστο %lld ώρ. | Minimum %lld h | Mínimo %lld h | Minimo %lld h | Minst %lld h | Minimaal %lld u
Engineer included | Tekniker inkluderet | Engineer inklusive | Realizator w cenie | Περιλαμβάνεται ηχολήπτης | Ingé son inclus | Técnico incluido | Fonico incluso | Tekniker ingår | Technicus inbegrepen
Add session type | Tilføj sessionstype | Session-Art hinzufügen | Dodaj rodzaj sesji | Προσθήκη τύπου συνεδρίας | Ajouter un type de session | Añadir tipo de sesión | Aggiungi tipo di sessione | Lägg till sessionstyp | Soort sessie toevoegen
Session types | Sessionstyper | Session-Arten | Rodzaje sesji | Τύποι συνεδρίας | Types de session | Tipos de sesión | Tipi di sessione | Sessionstyper | Soorten sessies
e.g. Recording, Recording + engineer, Mixing session, Podcast, Rehearsal. | fx Optagelse, Optagelse + tekniker, Mixsession, Podcast, Øvning. | z. B. Aufnahme, Aufnahme + Engineer, Mixing-Session, Podcast, Probe. | np. Nagranie, Nagranie + realizator, Sesja miksu, Podcast, Próba. | π.χ. Ηχογράφηση, Ηχογράφηση + ηχολήπτης, Μίξη, Podcast, Πρόβα. | ex. Enregistrement, Enregistrement + ingé son, Mixage, Podcast, Répétition. | p. ej. Grabación, Grabación + técnico, Sesión de mezcla, Pódcast, Ensayo. | es. Registrazione, Registrazione + fonico, Missaggio, Podcast, Prove. | t.ex. Inspelning, Inspelning + tekniker, Mixsession, Podd, Rep. | bijv. Opname, Opname + technicus, Mixsessie, Podcast, Repetitie.
Charged | Opkræves | Berechnet | Naliczane | Χρέωση | Facturé | Se cobra | Addebitato | Debiteras | Berekend
Add service | Tilføj ydelse | Leistung hinzufügen | Dodaj usługę | Προσθήκη υπηρεσίας | Ajouter un service | Añadir servicio | Aggiungi servizio | Lägg till tjänst | Dienst toevoegen
Mix, mastering, engineer & producer | Mix, mastering, tekniker og producer | Mix, Mastering, Engineer & Producer | Miks, mastering, realizator i producent | Μίξη, mastering, ηχολήπτης και παραγωγός | Mixage, mastering, ingé son et producteur | Mezcla, mastering, técnico y productor | Mix, mastering, fonico e produttore | Mix, mastring, tekniker och producent | Mix, mastering, technicus en producer
Opens | Åbner | Öffnet | Otwarcie | Ανοίγει | Ouvre | Abre | Apre | Öppnar | Opent
Closes | Lukker | Schließt | Zamknięcie | Κλείνει | Ferme | Cierra | Chiude | Stänger | Sluit
Copy Monday to all days | Kopiér mandag til alle dage | Montag auf alle Tage kopieren | Skopiuj poniedziałek na wszystkie dni | Αντιγραφή Δευτέρας σε όλες τις μέρες | Copier lundi sur tous les jours | Copiar el lunes a todos los días | Copia lunedì su tutti i giorni | Kopiera måndag till alla dagar | Maandag naar alle dagen kopiëren
Closing times after midnight (e.g. 02:00) are allowed for late sessions. | Lukketider efter midnat (fx 02:00) er tilladt til sene sessioner. | Schließzeiten nach Mitternacht (z. B. 02:00) sind für späte Sessions erlaubt. | Zamknięcie po północy (np. 02:00) jest dozwolone dla późnych sesji. | Επιτρέπεται κλείσιμο μετά τα μεσάνυχτα (π.χ. 02:00) για αργές συνεδρίες. | Les fermetures après minuit (ex. 02:00) sont possibles pour les sessions tardives. | Se permite cerrar después de medianoche (p. ej. 02:00) para sesiones tardías. | Sono consentite chiusure dopo mezzanotte (es. 02:00) per sessioni serali. | Stängningstider efter midnatt (t.ex. 02:00) är tillåtna för sena sessioner. | Sluitingstijden na middernacht (bijv. 02:00) zijn toegestaan voor late sessies.
Capacity | Kapacitet | Kapazität | Pojemność | Χωρητικότητα | Capacité | Capacidad | Capienza | Kapacitet | Capaciteit
Genres you work with | Genrer, du arbejder med | Genres, mit denen du arbeitest | Gatunki, z którymi pracujesz | Είδη με τα οποία δουλεύεις | Genres avec lesquels tu travailles | Géneros con los que trabajas | Generi con cui lavori | Genrer du jobbar med | Genres waarmee je werkt
Category | Kategori | Kategorie | Kategoria | Κατηγορία | Catégorie | Categoría | Categoria | Kategori | Categorie
e.g. Neumann U87 Ai | fx Neumann U87 Ai | z. B. Neumann U87 Ai | np. Neumann U87 Ai | π.χ. Neumann U87 Ai | ex. Neumann U87 Ai | p. ej. Neumann U87 Ai | es. Neumann U87 Ai | t.ex. Neumann U87 Ai | bijv. Neumann U87 Ai
Equipment & microphones | Udstyr og mikrofoner | Equipment & Mikrofone | Sprzęt i mikrofony | Εξοπλισμός και μικρόφωνα | Matériel et micros | Equipo y micrófonos | Attrezzatura e microfoni | Utrustning och mikrofoner | Apparatuur en microfoons
Role (Engineer, Producer…) | Rolle (tekniker, producer …) | Rolle (Engineer, Producer …) | Rola (realizator, producent…) | Ρόλος (ηχολήπτης, παραγωγός…) | Rôle (ingé son, producteur…) | Rol (técnico, productor…) | Ruolo (fonico, produttore…) | Roll (tekniker, producent …) | Rol (technicus, producer…)
Add person | Tilføj person | Person hinzufügen | Dodaj osobę | Προσθήκη ατόμου | Ajouter une personne | Añadir persona | Aggiungi persona | Lägg till person | Persoon toevoegen
Facilities & gear | Faciliteter og udstyr | Ausstattung & Equipment | Udogodnienia i sprzęt | Παροχές και εξοπλισμός | Équipements et matériel | Instalaciones y equipo | Servizi e attrezzatura | Faciliteter och utrustning | Voorzieningen en apparatuur
Add a rule | Tilføj en regel | Regel hinzufügen | Dodaj zasadę | Προσθήκη κανόνα | Ajouter une règle | Añadir una norma | Aggiungi una regola | Lägg till en regel | Regel toevoegen
How artists book | Sådan booker kunstnere | Wie Artists buchen | Jak artyści rezerwują | Πώς κλείνουν οι καλλιτέχνες | Comment les artistes réservent | Cómo reservan los artistas | Come prenotano gli artisti | Hur artister bokar | Hoe artiesten boeken
Instant booking | Straksbooking | Sofortbuchung | Rezerwacja natychmiastowa | Άμεση κράτηση | Réservation instantanée | Reserva inmediata | Prenotazione immediata | Direktbokning | Direct boeken
Request – I approve within 24 hours | Forespørgsel – jeg godkender inden for 24 timer | Anfrage – ich bestätige innerhalb von 24 Stunden | Prośba – zatwierdzam w ciągu 24 godzin | Αίτημα – εγκρίνω εντός 24 ωρών | Demande – je valide sous 24 heures | Solicitud: apruebo en 24 horas | Richiesta – approvo entro 24 ore | Förfrågan – jag godkänner inom 24 timmar | Aanvraag – ik keur binnen 24 uur goed
Artists are confirmed immediately when they book. | Kunstnere bekræftes med det samme, når de booker. | Artists werden beim Buchen sofort bestätigt. | Artyści otrzymują potwierdzenie od razu po rezerwacji. | Οι καλλιτέχνες επιβεβαιώνονται αμέσως μόλις κλείσουν. | Les artistes sont confirmés dès qu'ils réservent. | Los artistas quedan confirmados al instante al reservar. | Gli artisti sono confermati subito quando prenotano. | Artister bekräftas direkt när de bokar. | Artiesten worden meteen bevestigd als ze boeken.
You accept or decline each request within 24 hours; unanswered requests expire. Card payments are only charged when you accept. | Du accepterer eller afviser hver forespørgsel inden for 24 timer; ubesvarede forespørgsler udløber. Kortbetalinger trækkes først, når du accepterer. | Du nimmst jede Anfrage innerhalb von 24 Stunden an oder lehnst sie ab; unbeantwortete Anfragen verfallen. Kartenzahlungen werden erst bei Annahme belastet. | Akceptujesz lub odrzucasz każdą prośbę w ciągu 24 godzin; prośby bez odpowiedzi wygasają. Płatności kartą są pobierane dopiero po akceptacji. | Αποδέχεσαι ή απορρίπτεις κάθε αίτημα εντός 24 ωρών· τα αναπάντητα λήγουν. Οι πληρωμές με κάρτα χρεώνονται μόνο όταν αποδεχτείς. | Tu acceptes ou refuses chaque demande sous 24 heures ; sans réponse, elle expire. Les paiements par carte ne sont débités qu'à l'acceptation. | Aceptas o rechazas cada solicitud en 24 horas; las que no respondas caducan. Los pagos con tarjeta solo se cobran al aceptar. | Accetti o rifiuti ogni richiesta entro 24 ore; quelle senza risposta scadono. I pagamenti con carta sono addebitati solo quando accetti. | Du accepterar eller avböjer varje förfrågan inom 24 timmar; obesvarade förfrågningar går ut. Kortbetalningar dras först när du accepterar. | Je accepteert of weigert elke aanvraag binnen 24 uur; onbeantwoorde aanvragen vervallen. Kaartbetalingen worden pas afgeschreven als je accepteert.
No deposit – full payment | Intet depositum – fuld betaling | Keine Anzahlung – volle Zahlung | Bez zaliczki – pełna płatność | Χωρίς προκαταβολή – πλήρης πληρωμή | Pas d'acompte – paiement intégral | Sin depósito: pago completo | Nessun acconto – pagamento completo | Ingen handpenning – full betalning | Geen aanbetaling – volledige betaling
%lld%% deposit | %lld %% depositum | %lld %% Anzahlung | %lld%% zaliczki | Προκαταβολή %lld%% | Acompte de %lld %% | Depósito del %lld %% | Acconto del %lld%% | %lld %% handpenning | %lld%% aanbetaling
With a deposit, the rest is charged automatically after the session. | Med depositum trækkes resten automatisk efter sessionen. | Mit Anzahlung wird der Rest nach der Session automatisch abgebucht. | Przy zaliczce reszta jest pobierana automatycznie po sesji. | Με προκαταβολή, το υπόλοιπο χρεώνεται αυτόματα μετά τη συνεδρία. | Avec un acompte, le reste est débité automatiquement après la session. | Con depósito, el resto se cobra automáticamente tras la sesión. | Con l'acconto, il resto viene addebitato automaticamente dopo la sessione. | Med handpenning dras resten automatiskt efter sessionen. | Met een aanbetaling wordt de rest na de sessie automatisch afgeschreven.
Accept cash payments | Tag imod kontantbetaling | Barzahlung annehmen | Przyjmuj płatności gotówką | Αποδοχή πληρωμών με μετρητά | Accepter les espèces | Aceptar pagos en efectivo | Accetta pagamenti in contanti | Ta emot kontantbetalning | Contante betalingen accepteren
Cash isn't available when you require a deposit. | Kontanter er ikke muligt, når du kræver depositum. | Bargeld ist bei verlangter Anzahlung nicht möglich. | Gotówka nie jest dostępna, gdy wymagasz zaliczki. | Τα μετρητά δεν είναι διαθέσιμα όταν ζητάς προκαταβολή. | Les espèces ne sont pas possibles si tu demandes un acompte. | El efectivo no está disponible si pides depósito. | I contanti non sono disponibili se richiedi un acconto. | Kontanter går inte när du kräver handpenning. | Contant betalen kan niet als je een aanbetaling vraagt.
Artists can choose to pay you in cash at the session. EasySesh's %lld%% platform fee on cash bookings is deducted from your next payout or invoiced monthly. Cash bookings have no card guarantee for no-shows. | Kunstnere kan vælge at betale dig kontant ved sessionen. EasySeshs platformgebyr på %lld %% for kontantbookinger trækkes fra din næste udbetaling eller faktureres månedligt. Kontantbookinger har ingen kortgaranti ved udeblivelse. | Artists können dich bei der Session bar bezahlen. Die EasySesh-Plattformgebühr von %lld %% auf Barbuchungen wird von deiner nächsten Auszahlung abgezogen oder monatlich in Rechnung gestellt. Barbuchungen haben keine Kartengarantie bei Nichterscheinen. | Artyści mogą płacić Ci gotówką na sesji. Opłata platformy EasySesh %lld%% od rezerwacji gotówkowych jest potrącana z następnej wypłaty lub fakturowana co miesiąc. Rezerwacje gotówkowe nie mają gwarancji kartą w razie nieobecności. | Οι καλλιτέχνες μπορούν να σε πληρώσουν μετρητά στη συνεδρία. Η χρέωση πλατφόρμας %lld%% του EasySesh για κρατήσεις με μετρητά αφαιρείται από την επόμενη πληρωμή σου ή τιμολογείται μηνιαία. Οι κρατήσεις με μετρητά δεν έχουν εγγύηση κάρτας σε περίπτωση μη εμφάνισης. | Les artistes peuvent te payer en espèces pendant la session. Les frais de plateforme EasySesh de %lld %% sur ces réservations sont déduits de ton prochain versement ou facturés chaque mois. Les réservations en espèces n'ont pas de garantie par carte en cas d'absence. | Los artistas pueden pagarte en efectivo en la sesión. La tarifa de plataforma del %lld %% de EasySesh en reservas en efectivo se descuenta de tu próximo pago o se factura mensualmente. Las reservas en efectivo no tienen garantía de tarjeta si no se presentan. | Gli artisti possono pagarti in contanti alla sessione. La commissione EasySesh del %lld%% sulle prenotazioni in contanti viene detratta dal prossimo pagamento o fatturata ogni mese. Le prenotazioni in contanti non hanno garanzia con carta in caso di mancata presenza. | Artister kan betala dig kontant vid sessionen. EasySesh plattformsavgift på %lld %% för kontantbokningar dras från din nästa utbetalning eller faktureras månadsvis. Kontantbokningar har ingen kortgaranti vid uteblivet besök. | Artiesten kunnen je contant betalen bij de sessie. De EasySesh-platformkosten van %lld%% op contante boekingen worden van je volgende uitbetaling afgetrokken of maandelijks gefactureerd. Contante boekingen hebben geen kaartgarantie bij niet verschijnen.
Check-in on arrival | Tjek ind ved ankomst | Check-in bei Ankunft | Zameldowanie po przybyciu | Check-in κατά την άφιξη | Enregistrement à l'arrivée | Check-in al llegar | Check-in all'arrivo | Incheckning vid ankomst | Inchecken bij aankomst
