# en | da | de | pl | el | fr | es | it | sv | nl
# Enum titles, statuses, errors and components
You don't have access to this. | Du har ikke adgang til dette. | Darauf hast du keinen Zugriff. | Nie masz do tego dostępu. | Δεν έχεις πρόσβαση σε αυτό. | Tu n'as pas accès à ceci. | No tienes acceso a esto. | Non hai accesso a questo. | Du har inte åtkomst till detta. | Je hebt hier geen toegang toe.
This account is suspended. Contact support. | Kontoen er suspenderet. Kontakt support. | Dieses Konto ist gesperrt. Wende dich an den Support. | To konto jest zawieszone. Skontaktuj się z pomocą. | Ο λογαριασμός έχει ανασταλεί. Επικοινώνησε με την υποστήριξη. | Ce compte est suspendu. Contacte l'assistance. | Esta cuenta está suspendida. Contacta con soporte. | Questo account è sospeso. Contatta l'assistenza. | Kontot är avstängt. Kontakta support. | Dit account is geschorst. Neem contact op met support.
Wrong email or password. | Forkert e-mail eller adgangskode. | Falsche E-Mail oder falsches Passwort. | Nieprawidłowy e-mail lub hasło. | Λάθος email ή κωδικός. | E-mail ou mot de passe incorrect. | Correo o contraseña incorrectos. | Email o password errati. | Fel e-post eller lösenord. | Onjuist e-mailadres of wachtwoord.
An account with this email already exists. | Der findes allerede en konto med denne e-mail. | Es gibt bereits ein Konto mit dieser E-Mail. | Konto z tym adresem e-mail już istnieje. | Υπάρχει ήδη λογαριασμός με αυτό το email. | Un compte existe déjà avec cet e-mail. | Ya existe una cuenta con este correo. | Esiste già un account con questa email. | Det finns redan ett konto med den här e-postadressen. | Er bestaat al een account met dit e-mailadres.
That time is no longer available. Please pick another slot. | Tiden er ikke længere ledig. Vælg en anden. | Diese Zeit ist nicht mehr frei. Bitte wähle einen anderen Termin. | Ten termin nie jest już dostępny. Wybierz inny. | Αυτή η ώρα δεν είναι πλέον διαθέσιμη. Διάλεξε άλλη. | Ce créneau n'est plus disponible. Choisis-en un autre. | Esa hora ya no está disponible. Elige otra. | Questo orario non è più disponibile. Scegline un altro. | Den tiden är inte längre ledig. Välj en annan. | Dat tijdstip is niet meer beschikbaar. Kies een ander.
Payment failed: %@ | Betalingen mislykkedes: %@ | Zahlung fehlgeschlagen: %@ | Płatność nie powiodła się: %@ | Η πληρωμή απέτυχε: %@ | Échec du paiement : %@ | El pago ha fallado: %@ | Pagamento non riuscito: %@ | Betalningen misslyckades: %@ | Betaling mislukt: %@
This account is banned. | Kontoen er udelukket. | Dieses Konto ist gesperrt (Bann). | To konto zostało zablokowane. | Ο λογαριασμός έχει αποκλειστεί. | Ce compte est banni. | Esta cuenta está bloqueada. | Questo account è stato bannato. | Kontot är avstängt permanent. | Dit account is verbannen.
This account is suspended. | Kontoen er suspenderet. | Dieses Konto ist vorübergehend gesperrt. | To konto jest zawieszone. | Ο λογαριασμός έχει ανασταλεί. | Ce compte est suspendu. | Esta cuenta está suspendida. | Questo account è sospeso. | Kontot är tillfälligt avstängt. | Dit account is geschorst.
Until %@. | Indtil %@. | Bis %@. | Do %@. | Έως %@. | Jusqu'au %@. | Hasta el %@. | Fino al %@. | Till %@. | Tot %@.
Contact support if you think this is a mistake. | Kontakt support, hvis du mener, det er en fejl. | Wende dich an den Support, wenn du glaubst, dass das ein Fehler ist. | Skontaktuj się z pomocą, jeśli uważasz, że to pomyłka. | Επικοινώνησε με την υποστήριξη αν πιστεύεις ότι είναι λάθος. | Contacte l'assistance si tu penses que c'est une erreur. | Contacta con soporte si crees que es un error. | Contatta l'assistenza se pensi che sia un errore. | Kontakta support om du tror att det är ett misstag. | Neem contact op met support als je denkt dat dit een fout is.
Reason: %@ | Årsag: %@ | Grund: %@ | Powód: %@ | Αιτία: %@ | Motif : %@ | Motivo: %@ | Motivo: %@ | Anledning: %@ | Reden: %@
EasySesh team | EasySesh-teamet | EasySesh-Team | Zespół EasySesh | Ομάδα EasySesh | Équipe EasySesh | Equipo de EasySesh | Team EasySesh | EasySesh-teamet | EasySesh-team
TEAM | TEAM | TEAM | ZESPÓŁ | ΟΜΑΔΑ | ÉQUIPE | EQUIPO | TEAM | TEAM | TEAM
Promoted | Promoveret | Beworben | Promowane | Προβεβλημένο | Mis en avant | Promocionado | In evidenza | Marknadsförd | Uitgelicht
Promoted studio | Promoveret studie | Beworbenes Studio | Promowane studio | Προβεβλημένο στούντιο | Studio mis en avant | Estudio promocionado | Studio in evidenza | Marknadsförd studio | Uitgelichte studio
%@, %lld unread | %@, %lld ulæste | %@, %lld ungelesen | %@, %lld nieprzeczytane | %@, %lld μη αναγνωσμένα | %@, %lld non lus | %@, %lld sin leer | %@, %lld non letti | %@, %lld olästa | %@, %lld ongelezen
%lld stars | %lld stjerner | %lld Sterne | %lld gwiazdek | %lld αστέρια | %lld étoiles | %lld estrellas | %lld stelle | %lld stjärnor | %lld sterren
Add your studio's name. | Tilføj studiets navn. | Gib den Namen deines Studios an. | Dodaj nazwę studia. | Πρόσθεσε το όνομα του στούντιο. | Ajoute le nom de ton studio. | Añade el nombre de tu estudio. | Aggiungi il nome dello studio. | Lägg till studions namn. | Voeg de naam van je studio toe.
Write a description of at least 40 characters. | Skriv en beskrivelse på mindst 40 tegn. | Schreibe eine Beschreibung mit mindestens 40 Zeichen. | Napisz opis mający co najmniej 40 znaków. | Γράψε περιγραφή τουλάχιστον 40 χαρακτήρων. | Écris une description d'au moins 40 caractères. | Escribe una descripción de al menos 40 caracteres. | Scrivi una descrizione di almeno 40 caratteri. | Skriv en beskrivning på minst 40 tecken. | Schrijf een beschrijving van minstens 40 tekens.
Add at least one photo. | Tilføj mindst ét foto. | Füge mindestens ein Foto hinzu. | Dodaj co najmniej jedno zdjęcie. | Πρόσθεσε τουλάχιστον μία φωτογραφία. | Ajoute au moins une photo. | Añade al menos una foto. | Aggiungi almeno una foto. | Lägg till minst en bild. | Voeg minstens één foto toe.
Add the studio's address. | Tilføj studiets adresse. | Gib die Adresse des Studios an. | Dodaj adres studia. | Πρόσθεσε τη διεύθυνση του στούντιο. | Ajoute l'adresse du studio. | Añade la dirección del estudio. | Aggiungi l'indirizzo dello studio. | Lägg till studions adress. | Voeg het adres van de studio toe.
Place your studio on the map. | Placér dit studie på kortet. | Platziere dein Studio auf der Karte. | Umieść studio na mapie. | Τοποθέτησε το στούντιο στον χάρτη. | Place ton studio sur la carte. | Sitúa tu estudio en el mapa. | Posiziona lo studio sulla mappa. | Placera studion på kartan. | Zet je studio op de kaart.
Add a valid email address. | Tilføj en gyldig e-mailadresse. | Gib eine gültige E-Mail-Adresse an. | Dodaj prawidłowy adres e-mail. | Πρόσθεσε έγκυρο email. | Ajoute une adresse e-mail valide. | Añade un correo electrónico válido. | Aggiungi un indirizzo email valido. | Lägg till en giltig e-postadress. | Voeg een geldig e-mailadres toe.
Add a phone number. | Tilføj et telefonnummer. | Gib eine Telefonnummer an. | Dodaj numer telefonu. | Πρόσθεσε αριθμό τηλεφώνου. | Ajoute un numéro de téléphone. | Añade un número de teléfono. | Aggiungi un numero di telefono. | Lägg till ett telefonnummer. | Voeg een telefoonnummer toe.
Set a price for each session type. | Angiv en pris for hver sessionstype. | Lege für jede Session-Art einen Preis fest. | Ustal cenę dla każdego rodzaju sesji. | Όρισε τιμή για κάθε τύπο συνεδρίας. | Fixe un prix pour chaque type de session. | Pon un precio a cada tipo de sesión. | Imposta un prezzo per ogni tipo di sessione. | Ange ett pris för varje sessionstyp. | Stel een prijs in voor elk type sessie.
Set your opening hours. | Angiv dine åbningstider. | Lege deine Öffnungszeiten fest. | Ustaw godziny otwarcia. | Όρισε το ωράριο λειτουργίας. | Indique tes horaires d'ouverture. | Indica tu horario de apertura. | Imposta gli orari di apertura. | Ange dina öppettider. | Stel je openingstijden in.
Pick at least one genre. | Vælg mindst én genre. | Wähle mindestens ein Genre. | Wybierz co najmniej jeden gatunek. | Διάλεξε τουλάχιστον ένα είδος. | Choisis au moins un genre. | Elige al menos un género. | Scegli almeno un genere. | Välj minst en genre. | Kies minstens één genre.
At least %lld characters with upper- and lowercase letters and a number. | Mindst %lld tegn med store og små bogstaver og et tal. | Mindestens %lld Zeichen mit Groß- und Kleinbuchstaben und einer Zahl. | Co najmniej %lld znaków, w tym wielkie i małe litery oraz cyfra. | Τουλάχιστον %lld χαρακτήρες με κεφαλαία, πεζά και έναν αριθμό. | Au moins %lld caractères avec majuscules, minuscules et un chiffre. | Al menos %lld caracteres con mayúsculas, minúsculas y un número. | Almeno %lld caratteri con maiuscole, minuscole e un numero. | Minst %lld tecken med stora och små bokstäver och en siffra. | Minstens %lld tekens met hoofdletters, kleine letters en een cijfer.
Admin account | Administratorkonto | Admin-Konto | Konto administratora | Λογαριασμός διαχειριστή | Compte administrateur | Cuenta de administrador | Account amministratore | Administratörskonto | Beheerdersaccount
Studio approvals, users, bookings, payments and moderation are managed in the EasySesh admin dashboard on the web. | Godkendelse af studier, brugere, bookinger, betalinger og moderation styres i EasySesh-adminpanelet på nettet. | Studio-Freigaben, Nutzer, Buchungen, Zahlungen und Moderation werden im EasySesh-Admin-Dashboard im Web verwaltet. | Zatwierdzanie studiów, użytkownicy, rezerwacje, płatności i moderacja są zarządzane w panelu administratora EasySesh w przeglądarce. | Οι εγκρίσεις στούντιο, οι χρήστες, οι κρατήσεις, οι πληρωμές και η εποπτεία γίνονται από τον πίνακα διαχείρισης του EasySesh στο web. | Les validations de studios, utilisateurs, réservations, paiements et la modération se gèrent dans le tableau de bord admin d'EasySesh sur le web. | Las aprobaciones de estudios, usuarios, reservas, pagos y moderación se gestionan en el panel de administración web de EasySesh. | Approvazioni degli studi, utenti, prenotazioni, pagamenti e moderazione si gestiscono nella dashboard admin di EasySesh sul web. | Godkännanden av studior, användare, bokningar, betalningar och moderering hanteras i EasySesh adminpanel på webben. | Goedkeuringen van studio's, gebruikers, boekingen, betalingen en moderatie beheer je in het EasySesh-beheerdashboard op het web.
