# en | da | de | pl | el | fr | es | it | sv | nl
# Studio page, reviews, bookings, checkout, legal
Studio tour | Studierundvisning | Studio-Tour | Wycieczka po studiu | Περιήγηση στο στούντιο | Visite du studio | Tour por el estudio | Tour dello studio | Studiovisning | Studiotour
from %@/h | fra %@/t | ab %@/Std. | od %@/godz. | από %@/ώρα | à partir de %@/h | desde %@/h | da %@/h | från %@/h | vanaf %@/u
Instant confirmation | Straksbekræftelse | Sofortige Bestätigung | Natychmiastowe potwierdzenie | Άμεση επιβεβαίωση | Confirmation immédiate | Confirmación inmediata | Conferma immediata | Direkt bekräftelse | Direct bevestigd
Studio confirms within 24h | Studiet bekræfter inden for 24 t | Studio bestätigt innerhalb von 24 Std. | Studio potwierdza w ciągu 24 godz. | Το στούντιο επιβεβαιώνει εντός 24 ωρών | Le studio confirme sous 24 h | El estudio confirma en 24 h | Lo studio conferma entro 24 ore | Studion bekräftar inom 24 h | Studio bevestigt binnen 24 uur
%lld reviews | %lld anmeldelser | %lld Bewertungen | %lld opinii | %lld κριτικές | %lld avis | %lld reseñas | %lld recensioni | %lld recensioner | %lld reviews
Dispute rating | Klag over bedømmelse | Bewertung anfechten | Zakwestionuj ocenę | Αμφισβήτηση βαθμολογίας | Contester la note | Impugnar valoración | Contesta valutazione | Bestrid betyg | Beoordeling betwisten
Response from the studio | Svar fra studiet | Antwort des Studios | Odpowiedź studia | Απάντηση από το στούντιο | Réponse du studio | Respuesta del estudio | Risposta dello studio | Svar från studion | Reactie van de studio
Your public reply | Dit offentlige svar | Deine öffentliche Antwort | Twoja publiczna odpowiedź | Η δημόσια απάντησή σου | Ta réponse publique | Tu respuesta pública | La tua risposta pubblica | Ditt offentliga svar | Je openbare reactie
Thank the artist or respond to feedback | Tak kunstneren, eller svar på feedback | Bedanke dich beim Artist oder reagiere auf Feedback | Podziękuj artyście lub odpowiedz na opinię | Ευχαρίστησε τον καλλιτέχνη ή απάντησε στα σχόλια | Remercie l'artiste ou réponds aux remarques | Da las gracias al artista o responde a sus comentarios | Ringrazia l'artista o rispondi al feedback | Tacka artisten eller svara på feedback | Bedank de artiest of reageer op feedback
Reply to review | Svar på anmeldelse | Auf Bewertung antworten | Odpowiedz na opinię | Απάντηση στην κριτική | Répondre à l'avis | Responder a la reseña | Rispondi alla recensione | Svara på recension | Reageren op review
Post | Udgiv | Veröffentlichen | Opublikuj | Δημοσίευση | Publier | Publicar | Pubblica | Publicera | Plaatsen
Ratings | Bedømmelser | Bewertungen | Oceny | Βαθμολογίες | Notes | Valoraciones | Valutazioni | Betyg | Beoordelingen
Studio experience | Studieoplevelse | Studio-Erlebnis | Wrażenia ze studia | Εμπειρία στο στούντιο | Expérience au studio | Experiencia en el estudio | Esperienza in studio | Studioupplevelse | Studio-ervaring
I worked with an engineer/producer | Jeg arbejdede med en tekniker/producer | Ich habe mit einem Engineer/Producer gearbeitet | Pracowałem z realizatorem/producentem | Δούλεψα με ηχολήπτη/παραγωγό | J'ai travaillé avec un ingé son/producteur | Trabajé con un técnico/productor | Ho lavorato con un fonico/produttore | Jag jobbade med en tekniker/producent | Ik werkte met een technicus/producer
Engineer/producer | Tekniker/producer | Engineer/Producer | Realizator/producent | Ηχολήπτης/παραγωγός | Ingé son/producteur | Técnico/productor | Fonico/produttore | Tekniker/producent | Technicus/producer
What was great? What could be better? | Hvad var godt? Hvad kunne være bedre? | Was war super? Was könnte besser sein? | Co było świetne? Co mogłoby być lepsze? | Τι ήταν τέλειο; Τι θα μπορούσε να είναι καλύτερο; | Qu'est-ce qui était top ? Qu'est-ce qui pourrait être mieux ? | ¿Qué estuvo genial? ¿Qué podría mejorar? | Cosa è andato alla grande? Cosa si può migliorare? | Vad var bra? Vad kunde vara bättre? | Wat was top? Wat kan beter?
Reviews are public and shown with your artist name. | Anmeldelser er offentlige og vises med dit kunstnernavn. | Bewertungen sind öffentlich und werden mit deinem Künstlernamen angezeigt. | Opinie są publiczne i wyświetlane z Twoim pseudonimem. | Οι κριτικές είναι δημόσιες και εμφανίζονται με το καλλιτεχνικό σου όνομα. | Les avis sont publics et affichés avec ton nom d'artiste. | Las reseñas son públicas y se muestran con tu nombre artístico. | Le recensioni sono pubbliche e mostrate con il tuo nome d'arte. | Recensioner är offentliga och visas med ditt artistnamn. | Reviews zijn openbaar en worden getoond met je artiestennaam.
Review your session | Anmeld din session | Bewerte deine Session | Oceń swoją sesję | Αξιολόγησε τη συνεδρία σου | Évalue ta session | Valora tu sesión | Recensisci la tua sessione | Recensera din session | Beoordeel je sessie
Reports are private. The other side isn't told who reported them. | Anmeldelser er fortrolige. Den anden part får ikke at vide, hvem der har anmeldt. | Meldungen sind vertraulich. Die andere Seite erfährt nicht, wer gemeldet hat. | Zgłoszenia są poufne. Druga strona nie dowie się, kto zgłosił. | Οι αναφορές είναι ιδιωτικές. Η άλλη πλευρά δεν μαθαίνει ποιος έκανε την αναφορά. | Les signalements sont confidentiels. L'autre partie ne sait pas qui l'a signalée. | Las denuncias son privadas. La otra parte no sabe quién la denunció. | Le segnalazioni sono private. L'altra parte non saprà chi l'ha segnalata. | Anmälningar är privata. Den andra parten får inte veta vem som anmälde. | Meldingen zijn privé. De andere partij hoort niet wie heeft gemeld.
What's wrong? | Hvad er galt? | Was ist los? | Co jest nie tak? | Τι συμβαίνει; | Quel est le problème ? | ¿Qué pasa? | Qual è il problema? | Vad är fel? | Wat is er mis?
Details (optional) | Detaljer (valgfrit) | Details (optional) | Szczegóły (opcjonalnie) | Λεπτομέρειες (προαιρετικά) | Détails (facultatif) | Detalles (opcional) | Dettagli (facoltativo) | Detaljer (valfritt) | Details (optioneel)
Tell us what happened. Dates, messages and names help us act faster. | Fortæl, hvad der skete. Datoer, beskeder og navne hjælper os med at handle hurtigere. | Erzähl uns, was passiert ist. Daten, Nachrichten und Namen helfen uns, schneller zu handeln. | Opisz, co się stało. Daty, wiadomości i nazwy pomogą nam działać szybciej. | Πες μας τι συνέβη. Ημερομηνίες, μηνύματα και ονόματα μας βοηθούν να δράσουμε γρηγορότερα. | Explique-nous ce qui s'est passé. Dates, messages et noms nous aident à agir plus vite. | Cuéntanos qué pasó. Fechas, mensajes y nombres nos ayudan a actuar más rápido. | Raccontaci cosa è successo. Date, messaggi e nomi ci aiutano ad agire più in fretta. | Berätta vad som hände. Datum, meddelanden och namn hjälper oss att agera snabbare. | Vertel wat er gebeurde. Data, berichten en namen helpen ons sneller te handelen.
If someone is in danger, contact the local emergency services first. | Hvis nogen er i fare, så kontakt først alarmcentralen. | Wenn jemand in Gefahr ist, wende dich zuerst an den Notruf. | Jeśli ktoś jest w niebezpieczeństwie, najpierw zadzwoń na numer alarmowy. | Αν κάποιος κινδυνεύει, επικοινώνησε πρώτα με τις υπηρεσίες έκτακτης ανάγκης. | Si quelqu'un est en danger, contacte d'abord les services d'urgence. | Si alguien está en peligro, llama primero a emergencias. | Se qualcuno è in pericolo, contatta prima i servizi di emergenza. | Om någon är i fara, kontakta först larmnumret. | Is iemand in gevaar? Bel dan eerst de hulpdiensten.
Send report | Send anmeldelse | Meldung senden | Wyślij zgłoszenie | Αποστολή αναφοράς | Envoyer le signalement | Enviar denuncia | Invia segnalazione | Skicka anmälan | Melding versturen
Our moderation team will look into it, usually within 24 hours. We may contact you if we need more details. | Vores moderatorer ser på det, normalt inden for 24 timer. Vi kontakter dig måske, hvis vi har brug for flere detaljer. | Unser Moderationsteam sieht sich das an, meist innerhalb von 24 Stunden. Wir melden uns eventuell, wenn wir mehr Details brauchen. | Nasz zespół moderacji zajmie się tym, zwykle w ciągu 24 godzin. Możemy się z Tobą skontaktować, jeśli będziemy potrzebować szczegółów. | Η ομάδα εποπτείας θα το εξετάσει, συνήθως μέσα σε 24 ώρες. Ίσως επικοινωνήσουμε μαζί σου για λεπτομέρειες. | Notre équipe de modération va s'en occuper, en général sous 24 heures. Nous pourrons te contacter si besoin. | Nuestro equipo de moderación lo revisará, normalmente en 24 horas. Puede que te contactemos si necesitamos más detalles. | Il nostro team di moderazione se ne occuperà, di solito entro 24 ore. Potremmo contattarti per altri dettagli. | Vårt modereringsteam tittar på det, oftast inom 24 timmar. Vi kan kontakta dig om vi behöver mer information. | Ons moderatieteam kijkt ernaar, meestal binnen 24 uur. We nemen misschien contact op als we meer informatie nodig hebben.
Rate %@ | Bedøm %@ | %@ bewerten | Oceń: %@ | Βαθμολόγησε: %@ | Noter %@ | Valorar a %@ | Valuta %@ | Betygsätt %@ | %@ beoordelen
How was the session? Punctual, respectful, prepared? | Hvordan gik sessionen? Punktlig, respektfuld, forberedt? | Wie war die Session? Pünktlich, respektvoll, vorbereitet? | Jak minęła sesja? Punktualnie, z szacunkiem, przygotowany? | Πώς ήταν η συνεδρία; Συνέπεια, σεβασμός, προετοιμασία; | Comment s'est passée la session ? Ponctuel, respectueux, préparé ? | ¿Qué tal la sesión? ¿Puntual, respetuoso, preparado? | Com'è andata la sessione? Puntuale, rispettoso, preparato? | Hur var sessionen? Punktlig, respektfull, förberedd? | Hoe was de sessie? Op tijd, respectvol, voorbereid?
Ratings are shown on the artist's profile with your studio name. Be fair: the artist can ask EasySesh to review it. | Bedømmelser vises på kunstnerens profil med dit studies navn. Vær fair: kunstneren kan bede EasySesh om at se på den. | Bewertungen erscheinen im Profil des Artists mit deinem Studionamen. Sei fair: Der Artist kann EasySesh um Prüfung bitten. | Oceny są widoczne na profilu artysty z nazwą Twojego studia. Bądź uczciwy: artysta może poprosić EasySesh o weryfikację. | Οι βαθμολογίες εμφανίζονται στο προφίλ του καλλιτέχνη με το όνομα του στούντιο. Να είσαι δίκαιος: ο καλλιτέχνης μπορεί να ζητήσει έλεγχο από το EasySesh. | Les notes apparaissent sur le profil de l'artiste avec le nom de ton studio. Sois juste : l'artiste peut demander à EasySesh de vérifier. | Las valoraciones aparecen en el perfil del artista con el nombre de tu estudio. Sé justo: el artista puede pedir a EasySesh que la revise. | Le valutazioni appaiono sul profilo dell'artista con il nome dello studio. Sii corretto: l'artista può chiedere a EasySesh di verificarla. | Betyg visas på artistens profil med studions namn. Var rättvis: artisten kan be EasySesh granska det. | Beoordelingen staan op het profiel van de artiest met de naam van je studio. Wees eerlijk: de artiest kan EasySesh vragen het te controleren.
Submit rating | Send bedømmelse | Bewertung senden | Wyślij ocenę | Υποβολή βαθμολογίας | Envoyer la note | Enviar valoración | Invia valutazione | Skicka betyg | Beoordeling versturen
Rate the artist | Bedøm kunstneren | Artist bewerten | Oceń artystę | Βαθμολόγησε τον καλλιτέχνη | Noter l'artiste | Valorar al artista | Valuta l'artista | Betygsätt artisten | Artiest beoordelen
%lld coming up | %lld på vej | %lld anstehend | %lld nadchodzące | %lld επερχόμενες | %lld à venir | %lld próximas | %lld in arrivo | %lld kommande | %lld gepland
Nothing booked on %@. | Intet booket d. %@. | Am %@ ist nichts gebucht. | Brak rezerwacji na %@. | Τίποτα κλεισμένο στις %@. | Rien de réservé le %@. | Nada reservado el %@. | Nessuna prenotazione il %@. | Inget bokat %@. | Niets geboekt op %@.
Review %@ | Anmeld %@ | %@ bewerten | Oceń %@ | Αξιολόγησε το %@ | Évaluer %@ | Valorar %@ | Recensisci %@ | Recensera %@ | %@ beoordelen
No past sessions | Ingen tidligere sessioner | Keine vergangenen Sessions | Brak wcześniejszych sesji | Καμία προηγούμενη συνεδρία | Aucune session passée | No hay sesiones pasadas | Nessuna sessione passata | Inga tidigare sessioner | Geen eerdere sessies
Sessions you've had show up here with receipts. | Dine tidligere sessioner vises her med kvitteringer. | Deine bisherigen Sessions erscheinen hier mit Belegen. | Twoje odbyte sesje pojawią się tutaj z paragonami. | Οι συνεδρίες σου εμφανίζονται εδώ με αποδείξεις. | Tes sessions passées apparaissent ici avec les reçus. | Tus sesiones anteriores aparecen aquí con los recibos. | Le tue sessioni passate compaiono qui con le ricevute. | Dina tidigare sessioner visas här med kvitton. | Je eerdere sessies verschijnen hier met bonnen.
What went wrong? Our team will review the booking and contact both sides. | Hvad gik galt? Vores team gennemgår bookingen og kontakter begge parter. | Was ist schiefgelaufen? Unser Team prüft die Buchung und kontaktiert beide Seiten. | Co poszło nie tak? Nasz zespół sprawdzi rezerwację i skontaktuje się z obiema stronami. | Τι πήγε στραβά; Η ομάδα μας θα ελέγξει την κράτηση και θα επικοινωνήσει και με τις δύο πλευρές. | Qu'est-ce qui n'a pas marché ? Notre équipe va examiner la réservation et contacter les deux parties. | ¿Qué salió mal? Nuestro equipo revisará la reserva y contactará con ambas partes. | Cosa è andato storto? Il nostro team esaminerà la prenotazione e contatterà entrambe le parti. | Vad gick fel? Vårt team granskar bokningen och kontaktar båda parter. | Wat ging er mis? Ons team bekijkt de boeking en neemt contact op met beide partijen.
Optional message to the artist | Valgfri besked til kunstneren | Optionale Nachricht an den Artist | Opcjonalna wiadomość do artysty | Προαιρετικό μήνυμα στον καλλιτέχνη | Message facultatif pour l'artiste | Mensaje opcional para el artista | Messaggio facoltativo per l'artista | Valfritt meddelande till artisten | Optioneel bericht aan de artiest
%@ · %lld hours | %@ · %lld timer | %@ · %lld Stunden | %@ · %lld godz. | %@ · %lld ώρες | %@ · %lld heures | %@ · %lld horas | %@ · %lld ore | %@ · %lld timmar | %@ · %lld uur
Artist checked in | Kunstneren har tjekket ind | Artist hat eingecheckt | Artysta się zameldował | Ο καλλιτέχνης έκανε check-in | L'artiste s'est enregistré | El artista ha hecho check-in | L'artista ha fatto il check-in | Artisten har checkat in | Artiest heeft ingecheckt
You checked in | Du har tjekket ind | Du hast eingecheckt | Zameldowałeś się | Έκανες check-in | Tu t'es enregistré | Has hecho check-in | Hai fatto il check-in | Du har checkat in | Je hebt ingecheckt
Check-in is turned off for your studio. EasySesh can't promise the artist a refund if something goes wrong. | Tjek ind er slået fra for dit studie. EasySesh kan ikke love kunstneren en refundering, hvis noget går galt. | Check-in ist für dein Studio ausgeschaltet. EasySesh kann dem Artist keine Erstattung versprechen, wenn etwas schiefgeht. | Zameldowanie jest wyłączone w Twoim studiu. EasySesh nie może obiecać artyście zwrotu, jeśli coś pójdzie nie tak. | Το check-in είναι απενεργοποιημένο για το στούντιό σου. Το EasySesh δεν μπορεί να υποσχεθεί επιστροφή χρημάτων στον καλλιτέχνη αν κάτι πάει στραβά. | L'enregistrement est désactivé pour ton studio. EasySesh ne peut pas promettre de remboursement à l'artiste en cas de problème. | El check-in está desactivado en tu estudio. EasySesh no puede prometer un reembolso al artista si algo sale mal. | Il check-in è disattivato per il tuo studio. EasySesh non può promettere un rimborso all'artista se qualcosa va storto. | Incheckning är avstängd för din studio. EasySesh kan inte lova artisten återbetalning om något går fel. | Inchecken staat uit voor je studio. EasySesh kan de artiest geen terugbetaling beloven als er iets misgaat.
This studio has turned off check-in. EasySesh can't promise a refund if something goes wrong with this session. | Studiet har slået tjek ind fra. EasySesh kan ikke love en refundering, hvis noget går galt med sessionen. | Dieses Studio hat den Check-in ausgeschaltet. EasySesh kann keine Erstattung versprechen, wenn bei der Session etwas schiefgeht. | To studio wyłączyło zameldowanie. EasySesh nie może obiecać zwrotu, jeśli coś pójdzie nie tak z sesją. | Αυτό το στούντιο έχει απενεργοποιήσει το check-in. Το EasySesh δεν μπορεί να υποσχεθεί επιστροφή χρημάτων αν κάτι πάει στραβά με τη συνεδρία. | Ce studio a désactivé l'enregistrement. EasySesh ne peut pas promettre de remboursement en cas de problème avec cette session. | Este estudio ha desactivado el check-in. EasySesh no puede prometer un reembolso si algo sale mal en esta sesión. | Questo studio ha disattivato il check-in. EasySesh non può promettere un rimborso se qualcosa va storto con questa sessione. | Studion har stängt av incheckning. EasySesh kan inte lova återbetalning om något går fel med sessionen. | Deze studio heeft inchecken uitgezet. EasySesh kan geen terugbetaling beloven als er iets misgaat met deze sessie.
Check in | Tjek ind | Einchecken | Zamelduj się | Check-in | S'enregistrer | Hacer check-in | Fai il check-in | Checka in | Inchecken
Tap when you've arrived at the studio | Tryk, når du er ankommet til studiet | Tippe, wenn du im Studio angekommen bist | Stuknij po przybyciu do studia | Πάτα όταν φτάσεις στο στούντιο | Touche quand tu es arrivé au studio | Toca cuando llegues al estudio | Tocca quando sei arrivato in studio | Tryck när du har kommit till studion | Tik zodra je bij de studio bent
The artist hasn't checked in yet. | Kunstneren har ikke tjekket ind endnu. | Der Artist hat noch nicht eingecheckt. | Artysta jeszcze się nie zameldował. | Ο καλλιτέχνης δεν έχει κάνει check-in ακόμα. | L'artiste ne s'est pas encore enregistré. | El artista aún no ha hecho check-in. | L'artista non ha ancora fatto il check-in. | Artisten har inte checkat in än. | De artiest heeft nog niet ingecheckt.
Check-in opens 1 hour before your session. | Tjek ind åbner 1 time før din session. | Der Check-in öffnet 1 Stunde vor deiner Session. | Zameldowanie otwiera się godzinę przed sesją. | Το check-in ανοίγει 1 ώρα πριν τη συνεδρία σου. | L'enregistrement ouvre 1 heure avant ta session. | El check-in se abre 1 hora antes de tu sesión. | Il check-in apre 1 ora prima della sessione. | Incheckningen öppnar 1 timme före din session. | Inchecken kan vanaf 1 uur voor je sessie.
You confirmed the artist arrived · %@ | Du bekræftede, at kunstneren ankom · %@ | Du hast die Ankunft des Artists bestätigt · %@ | Potwierdziłeś przybycie artysty · %@ | Επιβεβαίωσες την άφιξη του καλλιτέχνη · %@ | Tu as confirmé l'arrivée de l'artiste · %@ | Confirmaste la llegada del artista · %@ | Hai confermato l'arrivo dell'artista · %@ | Du bekräftade att artisten kom · %@ | Je bevestigde dat de artiest er was · %@
The studio confirmed you arrived · %@ | Studiet bekræftede, at du ankom · %@ | Das Studio hat deine Ankunft bestätigt · %@ | Studio potwierdziło Twoje przybycie · %@ | Το στούντιο επιβεβαίωσε την άφιξή σου · %@ | Le studio a confirmé ton arrivée · %@ | El estudio confirmó tu llegada · %@ | Lo studio ha confermato il tuo arrivo · %@ | Studion bekräftade att du kom · %@ | De studio bevestigde dat je er was · %@
Confirm the artist arrived | Bekræft, at kunstneren er ankommet | Ankunft des Artists bestätigen | Potwierdź przybycie artysty | Επιβεβαίωσε την άφιξη του καλλιτέχνη | Confirmer l'arrivée de l'artiste | Confirmar la llegada del artista | Conferma l'arrivo dell'artista | Bekräfta att artisten har kommit | Bevestig dat de artiest er is
Check-in | Tjek ind | Check-in | Zameldowanie | Check-in | Enregistrement | Check-in | Check-in | Incheckning | Inchecken
Checking in records that the artist arrived. It protects both of you against fraud and helps EasySesh settle disputes. | Tjek ind registrerer, at kunstneren er ankommet. Det beskytter jer begge mod svindel og hjælper EasySesh med at afgøre uenigheder. | Der Check-in hält fest, dass der Artist angekommen ist. Das schützt euch beide vor Betrug und hilft EasySesh, Streitfälle zu klären. | Zameldowanie potwierdza przybycie artysty. Chroni was oboje przed oszustwem i pomaga EasySesh rozstrzygać spory. | Το check-in καταγράφει ότι ο καλλιτέχνης έφτασε. Προστατεύει και τους δύο από απάτη και βοηθά το EasySesh να επιλύει διαφορές. | L'enregistrement atteste l'arrivée de l'artiste. Il vous protège tous les deux contre la fraude et aide EasySesh à régler les litiges. | El check-in registra que el artista llegó. Os protege a ambos del fraude y ayuda a EasySesh a resolver disputas. | Il check-in registra l'arrivo dell'artista. Vi protegge entrambi dalle frodi e aiuta EasySesh a risolvere le contestazioni. | Incheckningen registrerar att artisten kom. Det skyddar er båda mot bedrägeri och hjälper EasySesh att lösa tvister. | Inchecken legt vast dat de artiest aankwam. Het beschermt jullie allebei tegen fraude en helpt EasySesh geschillen op te lossen.
EasySesh recommends checking in when you arrive. It protects you against fraud and helps us settle any dispute. Your location is only used if you allow it. | EasySesh anbefaler, at du tjekker ind, når du ankommer. Det beskytter dig mod svindel og hjælper os med at afgøre uenigheder. Din placering bruges kun, hvis du tillader det. | EasySesh empfiehlt, bei Ankunft einzuchecken. Das schützt dich vor Betrug und hilft uns, Streitfälle zu klären. Dein Standort wird nur verwendet, wenn du es erlaubst. | EasySesh zaleca zameldowanie po przybyciu. Chroni Cię to przed oszustwem i pomaga nam rozstrzygać spory. Twoja lokalizacja jest używana tylko za Twoją zgodą. | Το EasySesh προτείνει να κάνεις check-in όταν φτάνεις. Σε προστατεύει από απάτη και μας βοηθά να λύνουμε διαφορές. Η τοποθεσία σου χρησιμοποιείται μόνο αν το επιτρέψεις. | EasySesh te recommande de t'enregistrer à ton arrivée. Cela te protège contre la fraude et nous aide à régler les litiges. Ta position n'est utilisée que si tu l'autorises. | EasySesh recomienda hacer check-in al llegar. Te protege del fraude y nos ayuda a resolver disputas. Tu ubicación solo se usa si lo permites. | EasySesh consiglia di fare il check-in all'arrivo. Ti protegge dalle frodi e ci aiuta a risolvere le contestazioni. La tua posizione viene usata solo se lo consenti. | EasySesh rekommenderar att du checkar in när du kommer. Det skyddar dig mot bedrägeri och hjälper oss att lösa tvister. Din plats används bara om du tillåter det. | EasySesh raadt aan in te checken als je aankomt. Dat beschermt je tegen fraude en helpt ons geschillen op te lossen. Je locatie wordt alleen gebruikt als je dat toestaat.
%@ · %@ from the studio | %@ · %@ fra studiet | %@ · %@ vom Studio entfernt | %@ · %@ od studia | %@ · %@ από το στούντιο | %@ · à %@ du studio | %@ · a %@ del estudio | %@ · a %@ dallo studio | %@ · %@ från studion | %@ · %@ van de studio
The artist will pay cash at the session. | Kunstneren betaler kontant ved sessionen. | Der Artist zahlt bei der Session bar. | Artysta zapłaci gotówką na sesji. | Ο καλλιτέχνης θα πληρώσει μετρητά στη συνεδρία. | L'artiste paiera en espèces pendant la session. | El artista pagará en efectivo en la sesión. | L'artista pagherà in contanti alla sessione. | Artisten betalar kontant vid sessionen. | De artiest betaalt contant bij de sessie.
The artist's card is authorised. Accepting charges it; declining releases the hold. | Kunstnerens kort er godkendt. Accepterer du, trækkes beløbet; afviser du, frigives reservationen. | Die Karte des Artists ist autorisiert. Annehmen bucht ab, Ablehnen gibt den Betrag frei. | Karta artysty jest autoryzowana. Akceptacja ją obciąży, odrzucenie zwolni blokadę. | Η κάρτα του καλλιτέχνη έχει εγκριθεί. Αν αποδεχτείς, χρεώνεται· αν απορρίψεις, αποδεσμεύεται. | La carte de l'artiste est autorisée. Accepter la débite, refuser libère la réservation. | La tarjeta del artista está autorizada. Aceptar la cobra; rechazar libera la retención. | La carta dell'artista è autorizzata. Accettando viene addebitata, rifiutando si sblocca. | Artistens kort är godkänt. Accepterar du dras beloppet, avböjer du släpps reservationen. | De kaart van de artiest is geautoriseerd. Accepteren schrijft af, weigeren geeft het bedrag vrij.
View artist profile | Se kunstnerprofil | Artist-Profil ansehen | Zobacz profil artysty | Δες το προφίλ του καλλιτέχνη | Voir le profil de l'artiste | Ver perfil del artista | Vedi profilo artista | Visa artistprofil | Artiestenprofiel bekijken
View studio | Se studiet | Studio ansehen | Zobacz studio | Δες το στούντιο | Voir le studio | Ver estudio | Vedi studio | Visa studion | Studio bekijken
EasySesh platform fee (%lld%%) | EasySesh-platformgebyr (%lld %%) | EasySesh-Plattformgebühr (%lld %%) | Opłata platformy EasySesh (%lld%%) | Χρέωση πλατφόρμας EasySesh (%lld%%) | Frais de plateforme EasySesh (%lld %%) | Tarifa de plataforma EasySesh (%lld %%) | Commissione EasySesh (%lld%%) | EasySesh plattformsavgift (%lld %%) | EasySesh-platformkosten (%lld%%)
Yours to keep | Dit at beholde | Gehört dir | Zostaje u Ciebie | Σου μένουν | Pour toi | Para ti | Resta a te | Ditt att behålla | Voor jou
Your payout | Din udbetaling | Deine Auszahlung | Twoja wypłata | Η πληρωμή σου | Ton versement | Tu pago | Il tuo pagamento | Din utbetalning | Jouw uitbetaling
Mark cash as received | Markér kontanter som modtaget | Bargeld als erhalten markieren | Oznacz gotówkę jako otrzymaną | Σήμανση μετρητών ως ληφθέντα | Marquer les espèces comme reçues | Marcar efectivo como recibido | Segna contanti come ricevuti | Markera kontanter som mottagna | Contant geld als ontvangen markeren
Cash booking: collect %@ at the session. EasySesh's %lld%% fee is deducted from your next payout or invoiced. | Kontantbooking: opkræv %@ ved sessionen. EasySeshs gebyr på %lld %% trækkes fra din næste udbetaling eller faktureres. | Barbuchung: Kassiere %@ bei der Session. Die EasySesh-Gebühr von %lld %% wird von deiner nächsten Auszahlung abgezogen oder in Rechnung gestellt. | Rezerwacja gotówkowa: pobierz %@ na sesji. Opłata EasySesh %lld%% zostanie potrącona z następnej wypłaty lub zafakturowana. | Κράτηση με μετρητά: εισέπραξε %@ στη συνεδρία. Η χρέωση %lld%% του EasySesh αφαιρείται από την επόμενη πληρωμή σου ή τιμολογείται. | Réservation en espèces : encaisse %@ pendant la session. Les frais EasySesh de %lld %% sont déduits de ton prochain versement ou facturés. | Reserva en efectivo: cobra %@ en la sesión. La tarifa del %lld %% de EasySesh se descuenta de tu próximo pago o se factura. | Prenotazione in contanti: incassa %@ alla sessione. La commissione EasySesh del %lld%% viene detratta dal prossimo pagamento o fatturata. | Kontantbokning: ta betalt %@ vid sessionen. EasySesh avgift på %lld %% dras från din nästa utbetalning eller faktureras. | Contante boeking: reken %@ af bij de sessie. De EasySesh-kosten van %lld%% worden van je volgende uitbetaling afgetrokken of gefactureerd.
