# en | da | de | pl | el | fr | es | it | sv | nl
History | Historik | Verlauf | Historia | Ιστορικό | Historique | Historial | Cronologia | Historik | Geschiedenis
Inbox | Indbakke | Posteingang | Skrzynka | Εισερχόμενα | Boîte de réception | Bandeja | Posta in arrivo | Inkorg | Inbox
Language | Sprog | Sprache | Język | Γλώσσα | Langue | Idioma | Lingua | Språk | Taal
Later | Senere | Später | Później | Αργότερα | Plus tard | Más tarde | Più tardi | Senare | Later
Legal | Juridisk | Rechtliches | Informacje prawne | Νομικά | Mentions légales | Legal | Note legali | Juridiskt | Juridisch
Live | Live | Live | Na żywo | Live | En ligne | En directo | Live | Live | Live
Location | Placering | Standort | Lokalizacja | Τοποθεσία | Emplacement | Ubicación | Posizione | Plats | Locatie
Manage | Administrér | Verwalten | Zarządzaj | Διαχείριση | Gérer | Gestionar | Gestisci | Hantera | Beheren
Message | Besked | Nachricht | Wiadomość | Μήνυμα | Message | Mensaje | Messaggio | Meddelande | Bericht
Messages | Beskeder | Nachrichten | Wiadomości | Μηνύματα | Messages | Mensajes | Messaggi | Meddelanden | Berichten
Name | Navn | Name | Nazwa | Όνομα | Nom | Nombre | Nome | Namn | Naam
New | Ny | Neu | Nowe | Νέα | Nouveau | Nuevo | Nuovi | Nya | Nieuw
Next | Næste | Weiter | Dalej | Επόμενο | Suivant | Siguiente | Avanti | Nästa | Volgende
Notifications | Notifikationer | Mitteilungen | Powiadomienia | Ειδοποιήσεις | Notifications | Notificaciones | Notifiche | Aviseringar | Meldingen
OK | OK | OK | OK | OK | OK | OK | OK | OK | OK
Open | Åben | Geöffnet | Otwarte | Ανοιχτό | Ouvert | Abierto | Aperto | Öppen | Open
Opening hours | Åbningstider | Öffnungszeiten | Godziny otwarcia | Ωράριο | Horaires | Horario | Orari | Öppettider | Openingstijden
Optional | Valgfrit | Optional | Opcjonalnie | Προαιρετικό | Facultatif | Opcional | Facoltativo | Valfritt | Optioneel
Other | Andet | Sonstiges | Inne | Άλλο | Autre | Otro | Altro | Annat | Overig
Paid | Betalt | Bezahlt | Opłacone | Πληρώθηκε | Payé | Pagado | Pagato | Betald | Betaald
Partially refunded | Delvist refunderet | Teilweise erstattet | Częściowo zwrócone | Μερική επιστροφή | Remboursé partiellement | Reembolso parcial | Rimborsato in parte | Delvis återbetald | Gedeeltelijk terugbetaald
Password | Adgangskode | Passwort | Hasło | Κωδικός | Mot de passe | Contraseña | Password | Lösenord | Wachtwoord
Past | Tidligere | Vergangen | Minione | Παλαιότερες | Passées | Pasadas | Passate | Tidigare | Afgelopen
Paused | På pause | Pausiert | Wstrzymane | Σε παύση | En pause | En pausa | In pausa | Pausad | Gepauzeerd
Payment | Betaling | Zahlung | Płatność | Πληρωμή | Paiement | Pago | Pagamento | Betalning | Betaling
Payment failed | Betaling mislykkedes | Zahlung fehlgeschlagen | Płatność nieudana | Η πληρωμή απέτυχε | Échec du paiement | Pago fallido | Pagamento non riuscito | Betalningen misslyckades | Betaling mislukt
Payouts | Udbetalinger | Auszahlungen | Wypłaty | Πληρωμές | Versements | Pagos | Pagamenti | Utbetalningar | Uitbetalingen
Pending review | Afventer godkendelse | Wird geprüft | Oczekuje na weryfikację | Υπό έλεγχο | En cours d'examen | En revisión | In revisione | Granskas | Wordt beoordeeld
Phone | Telefon | Telefon | Telefon | Τηλέφωνο | Téléphone | Teléfono | Telefono | Telefon | Telefoon
Price | Pris | Preis | Cena | Τιμή | Prix | Precio | Prezzo | Pris | Prijs
Prices | Priser | Preise | Ceny | Τιμές | Tarifs | Precios | Prezzi | Priser | Prijzen
Profile | Profil | Profil | Profil | Προφίλ | Profil | Perfil | Profilo | Profil | Profiel
Rating | Bedømmelse | Bewertung | Ocena | Βαθμολογία | Note | Valoración | Valutazione | Betyg | Beoordeling
Reason | Årsag | Grund | Powód | Λόγος | Motif | Motivo | Motivo | Anledning | Reden
Receipt | Kvittering | Beleg | Paragon | Απόδειξη | Reçu | Recibo | Ricevuta | Kvitto | Bon
Receipts | Kvitteringer | Belege | Paragony | Αποδείξεις | Reçus | Recibos | Ricevute | Kvitton | Bonnen
Refund | Refusion | Erstattung | Zwrot | Επιστροφή χρημάτων | Remboursement | Reembolso | Rimborso | Återbetalning | Terugbetaling
Refunded | Refunderet | Erstattet | Zwrócone | Επιστράφηκε | Remboursé | Reembolsado | Rimborsato | Återbetald | Terugbetaald
Rejected | Afvist | Abgelehnt | Odrzucone | Απορρίφθηκε | Refusé | Rechazado | Respinto | Avvisad | Afgewezen
Reply | Svar | Antworten | Odpowiedz | Απάντηση | Répondre | Responder | Rispondi | Svara | Antwoorden
Report | Anmeld | Melden | Zgłoś | Αναφορά | Signaler | Denunciar | Segnala | Rapportera | Melden
Request | Anmodning | Anfrage | Prośba | Αίτημα | Demande | Solicitud | Richiesta | Förfrågan | Verzoek
Requests | Anmodninger | Anfragen | Prośby | Αιτήματα | Demandes | Solicitudes | Richieste | Förfrågningar | Verzoeken
Reset | Nulstil | Zurücksetzen | Resetuj | Επαναφορά | Réinitialiser | Restablecer | Reimposta | Återställ | Herstellen
Reviews | Anmeldelser | Bewertungen | Opinie | Κριτικές | Avis | Reseñas | Recensioni | Recensioner | Beoordelingen
Save | Gem | Sichern | Zapisz | Αποθήκευση | Enregistrer | Guardar | Salva | Spara | Opslaan
Saved | Gemt | Gesichert | Zapisano | Αποθηκεύτηκε | Enregistré | Guardado | Salvato | Sparad | Opgeslagen
Saving… | Gemmer… | Wird gesichert… | Zapisywanie… | Αποθήκευση… | Enregistrement… | Guardando… | Salvataggio… | Sparar… | Opslaan…
Scheduled | Planlagt | Geplant | Zaplanowane | Προγραμματισμένο | Planifié | Programado | Programmato | Planerad | Gepland
Search | Søg | Suchen | Szukaj | Αναζήτηση | Rechercher | Buscar | Cerca | Sök | Zoeken
Send | Send | Senden | Wyślij | Αποστολή | Envoyer | Enviar | Invia | Skicka | Verzenden
Sending… | Sender… | Wird gesendet… | Wysyłanie… | Αποστολή… | Envoi… | Enviando… | Invio… | Skickar… | Verzenden…
Sessions | Sessions | Sessions | Sesje | Συνεδρίες | Sessions | Sesiones | Sessioni | Sessioner | Sessies
Settings | Indstillinger | Einstellungen | Ustawienia | Ρυθμίσεις | Réglages | Ajustes | Impostazioni | Inställningar | Instellingen
Sign in | Log ind | Anmelden | Zaloguj się | Σύνδεση | Se connecter | Iniciar sesión | Accedi | Logga in | Inloggen
Sign out | Log ud | Abmelden | Wyloguj się | Αποσύνδεση | Se déconnecter | Cerrar sesión | Esci | Logga ut | Uitloggen
Skip | Spring over | Überspringen | Pomiń | Παράλειψη | Passer | Omitir | Salta | Hoppa över | Overslaan
Sort | Sortér | Sortieren | Sortuj | Ταξινόμηση | Trier | Ordenar | Ordina | Sortera | Sorteren
Status | Status | Status | Status | Κατάσταση | Statut | Estado | Stato | Status | Status
Studio | Studie | Studio | Studio | Στούντιο | Studio | Estudio | Studio | Studio | Studio
Submit | Indsend | Einreichen | Wyślij | Υποβολή | Envoyer | Enviar | Invia | Skicka in | Indienen
Support | Support | Support | Pomoc | Υποστήριξη | Assistance | Soporte | Assistenza | Support | Support
Suspended | Suspenderet | Gesperrt | Zawieszone | Σε αναστολή | Suspendu | Suspendido | Sospeso | Avstängd | Geschorst
Terms | Vilkår | Bedingungen | Regulamin | Όροι | Conditions | Condiciones | Termini | Villkor | Voorwaarden
To | Til | Bis | Do | Έως | À | Hasta | A | Till | Tot
Total | I alt | Gesamt | Razem | Σύνολο | Total | Total | Totale | Totalt | Totaal
Type | Type | Typ | Typ | Τύπος | Type | Tipo | Tipo | Typ | Type
Unblock | Fjern blokering | Freigeben | Odblokuj | Άρση αποκλεισμού | Débloquer | Desbloquear | Sblocca | Avblockera | Deblokkeren
Unpaid | Ubetalt | Unbezahlt | Nieopłacone | Απλήρωτο | Non payé | No pagado | Non pagato | Obetald | Onbetaald
Unread | Ulæst | Ungelesen | Nieprzeczytane | Μη αναγνωσμένα | Non lus | No leídos | Non letti | Olästa | Ongelezen
Upcoming | Kommende | Anstehend | Nadchodzące | Επερχόμενες | À venir | Próximas | In arrivo | Kommande | Aankomend
Verified | Verificeret | Verifiziert | Zweryfikowany | Επαληθευμένο | Vérifié | Verificado | Verificato | Verifierad | Geverifieerd
Version | Version | Version | Wersja | Έκδοση | Version | Versión | Versione | Version | Versie
View | Vis | Ansehen | Zobacz | Προβολή | Voir | Ver | Vedi | Visa | Bekijken
Website | Hjemmeside | Website | Strona www | Ιστότοπος | Site web | Sitio web | Sito web | Webbplats | Website
Welcome | Velkommen | Willkommen | Witaj | Καλώς ήρθατε | Bienvenue | Bienvenido | Benvenuto | Välkommen | Welkom
