# en | da | de | pl | el | fr | es | it | sv | nl
Find a studio | Find et studie | Studio finden | Znajdź studio | Βρες στούντιο | Trouver un studio | Buscar un estudio | Trova uno studio | Hitta en studio | Vind een studio
Engineers & producers | Teknikere og producere | Toningenieur:innen & Producer:innen | Realizatorzy i producenci | Ηχολήπτες & παραγωγοί | Ingés son et producteurs | Técnicos y productores | Fonici e produttori | Tekniker och producenter | Technici en producers
House rules | Husregler | Hausregeln | Zasady | Κανόνες | Règlement | Normas | Regole | Husregler | Huisregels
Cancellation policy | Afbestillingspolitik | Stornobedingungen | Zasady anulowania | Πολιτική ακύρωσης | Conditions d'annulation | Política de cancelación | Politica di cancellazione | Avbokningspolicy | Annuleringsbeleid
Message studio | Skriv til studiet | Studio anschreiben | Napisz do studia | Μήνυμα στο στούντιο | Écrire au studio | Escribir al estudio | Scrivi allo studio | Skriv till studion | Studio een bericht sturen
Report this studio | Anmeld dette studie | Dieses Studio melden | Zgłoś to studio | Αναφορά στούντιο | Signaler ce studio | Denunciar este estudio | Segnala questo studio | Rapportera studion | Deze studio melden
The exact address is shared after booking. | Den præcise adresse deles efter booking. | Die genaue Adresse erhältst du nach der Buchung. | Dokładny adres otrzymasz po rezerwacji. | Η ακριβής διεύθυνση δίνεται μετά την κράτηση. | L'adresse exacte est communiquée après la réservation. | La dirección exacta se comparte tras reservar. | L'indirizzo esatto viene condiviso dopo la prenotazione. | Den exakta adressen delas efter bokning. | Het exacte adres wordt na het boeken gedeeld.
Pick a time | Vælg et tidspunkt | Zeit wählen | Wybierz godzinę | Διάλεξε ώρα | Choisis un horaire | Elige una hora | Scegli un orario | Välj en tid | Kies een tijd
Session type | Sessionstype | Session-Art | Rodzaj sesji | Τύπος συνεδρίας | Type de session | Tipo de sesión | Tipo di sessione | Sessionstyp | Soort sessie
Start time | Starttidspunkt | Startzeit | Godzina rozpoczęcia | Ώρα έναρξης | Heure de début | Hora de inicio | Orario di inizio | Starttid | Starttijd
No free slots this day. | Ingen ledige tider denne dag. | An diesem Tag ist nichts frei. | Brak wolnych terminów tego dnia. | Δεν υπάρχουν ελεύθερες ώρες. | Aucun créneau libre ce jour-là. | No hay huecos libres este día. | Nessun orario libero in questo giorno. | Inga lediga tider denna dag. | Geen vrije tijden op deze dag.
Add-ons | Tilvalg | Extras | Dodatki | Πρόσθετα | Options | Extras | Extra | Tillägg | Extra's
Notes for the studio | Noter til studiet | Hinweise ans Studio | Uwagi dla studia | Σημειώσεις για το στούντιο | Notes pour le studio | Notas para el estudio | Note per lo studio | Anteckningar till studion | Opmerkingen voor de studio
How do you want to pay? | Hvordan vil du betale? | Wie möchtest du bezahlen? | Jak chcesz zapłacić? | Πώς θέλεις να πληρώσεις; | Comment veux-tu payer ? | ¿Cómo quieres pagar? | Come vuoi pagare? | Hur vill du betala? | Hoe wil je betalen?
Pay now in the app | Betal nu i appen | Jetzt in der App bezahlen | Zapłać teraz w aplikacji | Πλήρωσε τώρα στην εφαρμογή | Payer maintenant dans l'app | Pagar ahora en la app | Paga ora nell'app | Betala nu i appen | Nu betalen in de app
Pay cash at the studio | Betal kontant i studiet | Bar im Studio bezahlen | Zapłać gotówką w studiu | Πλήρωσε μετρητά στο στούντιο | Payer en espèces au studio | Pagar en efectivo en el estudio | Paga in contanti allo studio | Betala kontant i studion | Contant betalen in de studio
Cash at the studio | Kontant i studiet | Bar im Studio | Gotówka w studiu | Μετρητά στο στούντιο | Espèces au studio | Efectivo en el estudio | Contanti allo studio | Kontant i studion | Contant in de studio
Card or Apple Pay – securely processed by Stripe. | Kort eller Apple Pay – behandles sikkert af Stripe. | Karte oder Apple Pay – sicher über Stripe. | Karta lub Apple Pay – bezpiecznie przez Stripe. | Κάρτα ή Apple Pay – με ασφάλεια μέσω Stripe. | Carte ou Apple Pay – traité en toute sécurité par Stripe. | Tarjeta o Apple Pay – procesado de forma segura por Stripe. | Carta o Apple Pay – elaborato in sicurezza da Stripe. | Kort eller Apple Pay – hanteras säkert av Stripe. | Kaart of Apple Pay – veilig verwerkt door Stripe.
Checkout | Betaling | Kasse | Płatność | Ολοκλήρωση | Paiement | Pago | Pagamento | Kassa | Afrekenen
Service fee | Servicegebyr | Servicegebühr | Opłata serwisowa | Χρέωση υπηρεσίας | Frais de service | Tarifa de servicio | Commissione di servizio | Serviceavgift | Servicekosten
Session price | Sessionspris | Session-Preis | Cena sesji | Τιμή συνεδρίας | Prix de la session | Precio de la sesión | Prezzo sessione | Sessionspris | Sessieprijs
Breakdown | Specifikation | Aufschlüsselung | Szczegóły | Ανάλυση | Détail | Desglose | Dettaglio | Specifikation | Specificatie
You're booked! | Du er booket! | Du bist gebucht! | Rezerwacja gotowa! | Η κράτηση έγινε! | C'est réservé ! | ¡Reserva hecha! | Prenotazione fatta! | Du är bokad! | Je bent geboekt!
We've sent a confirmation and receipt. We'll remind you before your session. | Vi har sendt en bekræftelse og kvittering. Vi minder dig om det før din session. | Bestätigung und Beleg sind unterwegs. Wir erinnern dich vor der Session. | Wysłaliśmy potwierdzenie i paragon. Przypomnimy ci przed sesją. | Στείλαμε επιβεβαίωση και απόδειξη. Θα σου το θυμίσουμε πριν τη συνεδρία. | Confirmation et reçu envoyés. Nous te le rappellerons avant ta session. | Te hemos enviado la confirmación y el recibo. Te lo recordaremos antes de la sesión. | Ti abbiamo inviato conferma e ricevuta. Te lo ricorderemo prima della sessione. | Vi har skickat bekräftelse och kvitto. Vi påminner dig före sessionen. | We hebben een bevestiging en bon gestuurd. We herinneren je voor je sessie.
Add to calendar | Føj til kalender | Zum Kalender hinzufügen | Dodaj do kalendarza | Προσθήκη στο ημερολόγιο | Ajouter au calendrier | Añadir al calendario | Aggiungi al calendario | Lägg till i kalendern | Toevoegen aan agenda
Added to calendar | Føjet til kalender | Zum Kalender hinzugefügt | Dodano do kalendarza | Προστέθηκε στο ημερολόγιο | Ajouté au calendrier | Añadido al calendario | Aggiunto al calendario | Tillagd i kalendern | Toegevoegd aan agenda
Change date or time | Skift dato eller tid | Datum oder Zeit ändern | Zmień datę lub godzinę | Αλλαγή ημερομηνίας ή ώρας | Changer la date ou l'heure | Cambiar fecha u hora | Cambia data o orario | Ändra datum eller tid | Datum of tijd wijzigen
Keep booking | Behold booking | Buchung behalten | Zachowaj rezerwację | Διατήρηση κράτησης | Garder la réservation | Mantener reserva | Mantieni prenotazione | Behåll bokningen | Boeking behouden
Write a review | Skriv en anmeldelse | Bewertung schreiben | Napisz opinię | Γράψε κριτική | Écrire un avis | Escribir reseña | Scrivi una recensione | Skriv en recension | Beoordeling schrijven
Report a problem | Rapportér et problem | Problem melden | Zgłoś problem | Αναφορά προβλήματος | Signaler un problème | Informar de un problema | Segnala un problema | Rapportera ett problem | Probleem melden
Report artist | Anmeld kunstner | Künstler:in melden | Zgłoś artystę | Αναφορά καλλιτέχνη | Signaler l'artiste | Denunciar artista | Segnala artista | Rapportera artist | Artiest melden
Report studio | Anmeld studie | Studio melden | Zgłoś studio | Αναφορά στούντιο | Signaler le studio | Denunciar estudio | Segnala studio | Rapportera studio | Studio melden
Message artist | Skriv til kunstner | Künstler:in anschreiben | Napisz do artysty | Μήνυμα στον καλλιτέχνη | Écrire à l'artiste | Escribir al artista | Scrivi all'artista | Skriv till artist | Artiest een bericht sturen
Accept booking | Acceptér booking | Buchung annehmen | Zaakceptuj rezerwację | Αποδοχή κράτησης | Accepter la réservation | Aceptar reserva | Accetta prenotazione | Acceptera bokning | Boeking accepteren
Decline request | Afvis anmodning | Anfrage ablehnen | Odrzuć prośbę | Απόρριψη αιτήματος | Refuser la demande | Rechazar solicitud | Rifiuta richiesta | Avböj förfrågan | Verzoek weigeren
Waiting for your review | Venter på din godkendelse | Wartet auf deine Prüfung | Czeka na twoją decyzję | Αναμένει την απάντησή σου | En attente de ta réponse | Esperando tu respuesta | In attesa della tua risposta | Väntar på ditt svar | Wacht op jouw reactie
Booking history & receipts | Bookinghistorik og kvitteringer | Buchungsverlauf & Belege | Historia rezerwacji i paragony | Ιστορικό κρατήσεων & αποδείξεις | Historique et reçus | Historial y recibos | Cronologia e ricevute | Bokningshistorik och kvitton | Boekingsgeschiedenis en bonnen
Find a studio and book your next session. | Find et studie og book din næste session. | Finde ein Studio und buche deine nächste Session. | Znajdź studio i zarezerwuj następną sesję. | Βρες στούντιο και κλείσε την επόμενη συνεδρία. | Trouve un studio et réserve ta prochaine session. | Encuentra un estudio y reserva tu próxima sesión. | Trova uno studio e prenota la prossima sessione. | Hitta en studio och boka nästa session. | Vind een studio en boek je volgende sessie.
Your session | Din session | Deine Session | Twoja sesja | Η συνεδρία σου | Ta session | Tu sesión | La tua sessione | Din session | Jouw sessie
Your review | Din anmeldelse | Deine Bewertung | Twoja opinia | Η κριτική σου | Ton avis | Tu reseña | La tua recensione | Din recension | Jouw beoordeling
Overall | Samlet | Gesamt | Ogólnie | Συνολικά | Global | General | Complessivo | Totalt | Algemeen
Experience | Oplevelse | Erlebnis | Doświadczenie | Εμπειρία | Expérience | Experiencia | Esperienza | Upplevelse | Ervaring
Push notifications | Pushnotifikationer | Push-Mitteilungen | Powiadomienia push | Ειδοποιήσεις push | Notifications push | Notificaciones push | Notifiche push | Pushnotiser | Pushmeldingen
Email notifications | E-mailnotifikationer | E-Mail-Benachrichtigungen | Powiadomienia e-mail | Ειδοποιήσεις email | Notifications par e-mail | Notificaciones por correo | Notifiche email | E-postaviseringar | E-mailmeldingen
Notify me about | Giv mig besked om | Benachrichtige mich über | Powiadamiaj mnie o | Ειδοποίησέ με για | M'avertir pour | Avisarme sobre | Avvisami per | Meddela mig om | Stuur me meldingen over
Booking updates | Bookingopdateringer | Buchungs-Updates | Zmiany w rezerwacjach | Ενημερώσεις κρατήσεων | Mises à jour des réservations | Novedades de reservas | Aggiornamenti prenotazioni | Bokningsuppdateringar | Boekingsupdates
Session reminders | Sessionspåmindelser | Session-Erinnerungen | Przypomnienia o sesjach | Υπενθυμίσεις συνεδριών | Rappels de session | Recordatorios de sesión | Promemoria sessioni | Sessionspåminnelser | Sessieherinneringen
Review prompts | Påmindelser om anmeldelser | Bewertungserinnerungen | Prośby o opinię | Υπενθυμίσεις κριτικών | Demandes d'avis | Solicitudes de reseña | Richieste di recensione | Påminnelser om recensioner | Herinneringen voor beoordelingen
News & offers | Nyheder og tilbud | Neuigkeiten & Angebote | Nowości i oferty | Νέα & προσφορές | Actus et offres | Novedades y ofertas | Novità e offerte | Nyheter och erbjudanden | Nieuws en aanbiedingen
Use kilometres | Brug kilometer | Kilometer verwenden | Używaj kilometrów | Χρήση χιλιομέτρων | Utiliser les kilomètres | Usar kilómetros | Usa i chilometri | Använd kilometer | Kilometers gebruiken
Allow location access | Giv adgang til placering | Standortzugriff erlauben | Zezwól na lokalizację | Να επιτρέπεται η τοποθεσία | Autoriser la localisation | Permitir ubicación | Consenti posizione | Tillåt platsåtkomst | Locatietoegang toestaan
Your data | Dine data | Deine Daten | Twoje dane | Τα δεδομένα σου | Tes données | Tus datos | I tuoi dati | Dina data | Jouw gegevens
Download my data | Hent mine data | Meine Daten herunterladen | Pobierz moje dane | Λήψη των δεδομένων μου | Télécharger mes données | Descargar mis datos | Scarica i miei dati | Ladda ner mina data | Mijn gegevens downloaden
Delete account | Slet konto | Konto löschen | Usuń konto | Διαγραφή λογαριασμού | Supprimer le compte | Eliminar cuenta | Elimina account | Radera konto | Account verwijderen
Delete your account? | Slet din konto? | Konto löschen? | Usunąć konto? | Διαγραφή του λογαριασμού σου; | Supprimer ton compte ? | ¿Eliminar tu cuenta? | Eliminare l'account? | Radera ditt konto? | Je account verwijderen?
Account & notifications | Konto og notifikationer | Konto & Mitteilungen | Konto i powiadomienia | Λογαριασμός & ειδοποιήσεις | Compte et notifications | Cuenta y notificaciones | Account e notifiche | Konto och aviseringar | Account en meldingen
Account type | Kontotype | Kontotyp | Typ konta | Τύπος λογαριασμού | Type de compte | Tipo de cuenta | Tipo di account | Kontotyp | Accounttype
Contact us about your data | Kontakt os om dine data | Kontaktiere uns zu deinen Daten | Skontaktuj się w sprawie danych | Επικοινώνησε μαζί μας για τα δεδομένα σου | Nous contacter au sujet de tes données | Contáctanos sobre tus datos | Contattaci per i tuoi dati | Kontakta oss om dina data | Neem contact op over je gegevens
Terms accepted | Vilkår accepteret | Bedingungen akzeptiert | Regulamin zaakceptowany | Όροι αποδεκτοί | Conditions acceptées | Términos aceptados | Termini accettati | Villkor godkända | Voorwaarden geaccepteerd
Payout details | Udbetalingsoplysninger | Auszahlungsdaten | Dane do wypłat | Στοιχεία πληρωμών | Infos de versement | Datos de cobro | Dati per i pagamenti | Utbetalningsuppgifter | Uitbetalingsgegevens
Payment receipts and security messages are always sent. | Betalingskvitteringer og sikkerhedsbeskeder sendes altid. | Zahlungsbelege und Sicherheitsnachrichten werden immer gesendet. | Potwierdzenia płatności i komunikaty bezpieczeństwa są zawsze wysyłane. | Αποδείξεις πληρωμών και μηνύματα ασφαλείας αποστέλλονται πάντα. | Les reçus et messages de sécurité sont toujours envoyés. | Los recibos y mensajes de seguridad se envían siempre. | Ricevute e messaggi di sicurezza vengono sempre inviati. | Kvitton och säkerhetsmeddelanden skickas alltid. | Betaalbewijzen en beveiligingsberichten worden altijd verstuurd.
Studio application | Studieansøgning | Studio-Bewerbung | Zgłoszenie studia | Αίτηση στούντιο | Candidature du studio | Solicitud del estudio | Candidatura studio | Studioansökan | Studio-aanvraag
Submit for review | Send til godkendelse | Zur Prüfung einreichen | Wyślij do weryfikacji | Υποβολή για έλεγχο | Envoyer pour examen | Enviar a revisión | Invia per la verifica | Skicka för granskning | Ter beoordeling indienen
Submitting… | Sender… | Wird eingereicht… | Wysyłanie… | Υποβολή… | Envoi… | Enviando… | Invio… | Skickar… | Indienen…
Edit studio | Redigér studie | Studio bearbeiten | Edytuj studio | Επεξεργασία στούντιο | Modifier le studio | Editar estudio | Modifica studio | Redigera studio | Studio bewerken
Studio name | Studienavn | Studioname | Nazwa studia | Όνομα στούντιο | Nom du studio | Nombre del estudio | Nome dello studio | Studions namn | Studionaam
Basics & photos | Grundlæggende og billeder | Basics & Fotos | Podstawy i zdjęcia | Βασικά & φωτογραφίες | Infos de base et photos | Datos básicos y fotos | Dati base e foto | Grunder och bilder | Basis en foto's
Address & contact | Adresse og kontakt | Adresse & Kontakt | Adres i kontakt | Διεύθυνση & επικοινωνία | Adresse et contact | Dirección y contacto | Indirizzo e contatti | Adress och kontakt | Adres en contact
Facilities, gear & genres | Faciliteter, udstyr og genrer | Ausstattung, Equipment & Genres | Udogodnienia, sprzęt i gatunki | Παροχές, εξοπλισμός & είδη | Équipements, matériel et genres | Instalaciones, equipo y géneros | Servizi, attrezzatura e generi | Faciliteter, utrustning och genrer | Faciliteiten, apparatuur en genres
Rules & booking terms | Regler og bookingvilkår | Regeln & Buchungsbedingungen | Zasady i warunki rezerwacji | Κανόνες & όροι κράτησης | Règles et conditions | Normas y condiciones | Regole e condizioni | Regler och bokningsvillkor | Regels en boekingsvoorwaarden
Still missing | Mangler stadig | Fehlt noch | Jeszcze brakuje | Λείπουν ακόμη | Encore manquant | Aún falta | Manca ancora | Saknas fortfarande | Ontbreekt nog
Something went wrong | Noget gik galt | Etwas ist schiefgelaufen | Coś poszło nie tak | Κάτι πήγε στραβά | Un problème est survenu | Algo salió mal | Qualcosa è andato storto | Något gick fel | Er ging iets mis
Report message | Anmeld besked | Nachricht melden | Zgłoś wiadomość | Αναφορά μηνύματος | Signaler le message | Denunciar mensaje | Segnala messaggio | Rapportera meddelande | Bericht melden
Thanks for letting us know | Tak, fordi du sagde til | Danke für deinen Hinweis | Dziękujemy za zgłoszenie | Ευχαριστούμε που μας ενημέρωσες | Merci de nous avoir prévenus | Gracias por avisarnos | Grazie per la segnalazione | Tack för att du sa till | Bedankt voor je melding
Our moderation team will look into it. | Vores moderatorer kigger på det. | Unser Moderationsteam sieht sich das an. | Nasz zespół moderatorów to sprawdzi. | Η ομάδα ελέγχου θα το εξετάσει. | Notre équipe de modération va s'en occuper. | Nuestro equipo de moderación lo revisará. | Il nostro team di moderazione se ne occuperà. | Vårt moderatorteam tittar på det. | Ons moderatieteam kijkt ernaar.
Spam | Spam | Spam | Spam | Spam | Spam | Spam | Spam | Spam | Spam
Fake or misleading | Falsk eller vildledende | Falsch oder irreführend | Fałszywe lub wprowadzające w błąd | Ψευδές ή παραπλανητικό | Faux ou trompeur | Falso o engañoso | Falso o ingannevole | Falskt eller vilseledande | Nep of misleidend
Abusive or harassing | Krænkende eller chikanerende | Beleidigend oder belästigend | Obraźliwe lub nękające | Προσβλητικό ή παρενοχλητικό | Abusif ou harcelant | Abusivo o acosador | Offensivo o molesto | Kränkande eller trakasserande | Beledigend of intimiderend
Inappropriate content | Upassende indhold | Unangemessene Inhalte | Nieodpowiednie treści | Ακατάλληλο περιεχόμενο | Contenu inapproprié | Contenido inapropiado | Contenuto inappropriato | Olämpligt innehåll | Ongepaste inhoud
Fraud or scam | Svindel | Betrug | Oszustwo | Απάτη | Fraude ou arnaque | Fraude o estafa | Frode o truffa | Bedrägeri | Fraude of oplichting
No-show | Udeblivelse | Nicht erschienen | Nieobecność | Δεν εμφανίστηκε | Absence | No se presentó | Mancata presenza | Uteblev | Niet verschenen
We've updated our terms | Vi har opdateret vores vilkår | Wir haben unsere Bedingungen aktualisiert | Zaktualizowaliśmy regulamin | Ενημερώσαμε τους όρους μας | Nous avons mis à jour nos conditions | Hemos actualizado nuestros términos | Abbiamo aggiornato i termini | Vi har uppdaterat våra villkor | We hebben onze voorwaarden bijgewerkt
I have read and accept these documents | Jeg har læst og accepterer disse dokumenter | Ich habe diese Dokumente gelesen und akzeptiere sie | Przeczytałem i akceptuję te dokumenty | Διάβασα και αποδέχομαι αυτά τα έγγραφα | J'ai lu et j'accepte ces documents | He leído y acepto estos documentos | Ho letto e accetto questi documenti | Jag har läst och godkänner dokumenten | Ik heb deze documenten gelezen en ga akkoord
Terms & Conditions | Vilkår og betingelser | Allgemeine Geschäftsbedingungen | Regulamin | Όροι & προϋποθέσεις | Conditions générales | Términos y condiciones | Termini e condizioni | Villkor | Algemene voorwaarden
Privacy Policy | Privatlivspolitik | Datenschutzerklärung | Polityka prywatności | Πολιτική απορρήτου | Politique de confidentialité | Política de privacidad | Informativa sulla privacy | Integritetspolicy | Privacybeleid
Cookie Policy | Cookiepolitik | Cookie-Richtlinie | Polityka cookies | Πολιτική cookies | Politique relative aux cookies | Política de cookies | Cookie policy | Cookiepolicy | Cookiebeleid
